世界,因素,统计量,范围,分组,统计单位,权重,有效数量,适用候选数量,总帧或阶段组数,有有效观测的帧或组数,有覆盖世界数,数值单位,缺失或不可靠比例,无有效值帧或组比例,最小值,最大值,均值,P5,P25,P50,P75,P95,分位数区间最大宽度,缺失说明,来源,P5下界,P5上界,P25下界,P25上界,P50下界,P50上界,P75下界,P75上界,P95下界,P95上界
全部,A02,零坐标槽数,全部原始帧,全部,帧,世界等权（同一背景）,1796,1796,1796,1796,4,数量,0.0,0.0,1905.0,12934.0,5911.885300668151,2318.0,4174.0,4711.0,7543.0,12193.0,0.0,无缺失,summary.json:全部:A02|zero_slots|all_frames|all:sequence_equal,2318.0,2318.0,4174.0,4174.0,4711.0,4711.0,7543.0,7543.0,12193.0,12193.0
全部,B01,范围内异常点数,全部原始帧,全部,帧,统计单位等权,1796,1796,1796,1796,4,数量,0.0,0.0,0.0,203.0,9.231625835189309,0.0,0.0,0.0,5.0,65.0,0.0,无缺失,summary.json:全部:B01|anomaly_in_range|all_frames|all:observation_equal,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,65.0,65.0
全部,B01,范围内异常点数,全部原始帧,全部,帧,有适用观测的帧等权,1796,1796,1796,1796,4,数量,0.0,0.0,0.0,203.0,9.231625835189309,0.0,0.0,0.0,5.0,65.0,0.0,无缺失,summary.json:全部:B01|anomaly_in_range|all_frames|all:frame_equal,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,65.0,65.0
全部,B01,范围内异常点数,全部原始帧,全部,帧,世界等权（同一背景）,1796,1796,1796,1796,4,数量,0.0,0.0,0.0,203.0,9.231625835189309,0.0,0.0,0.0,5.0,65.0,0.0,无缺失,summary.json:全部:B01|anomaly_in_range|all_frames|all:sequence_equal,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,65.0,65.0
全部,B01,全距离异常点数,全部原始帧,全部,帧,统计单位等权,1796,1796,1796,1796,4,数量,0.0,0.0,0.0,203.0,9.288418708240535,0.0,0.0,0.0,5.0,65.0,0.0,无缺失,summary.json:全部:B01|anomaly|all_frames|all:observation_equal,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,65.0,65.0
全部,B01,全距离异常点数,全部原始帧,全部,帧,有适用观测的帧等权,1796,1796,1796,1796,4,数量,0.0,0.0,0.0,203.0,9.288418708240535,0.0,0.0,0.0,5.0,65.0,0.0,无缺失,summary.json:全部:B01|anomaly|all_frames|all:frame_equal,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,65.0,65.0
全部,B01,全距离异常点数,全部原始帧,全部,帧,世界等权（同一背景）,1796,1796,1796,1796,4,数量,0.0,0.0,0.0,203.0,9.288418708240533,0.0,0.0,0.0,5.0,65.0,0.0,无缺失,summary.json:全部:B01|anomaly|all_frames|all:sequence_equal,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,65.0,65.0
全部,B02,每帧全距离异常距离中位数,全部原始帧,全部,帧,统计单位等权,652,1796,1796,652,4,米,0.6369710467706013,0.6369710467706013,3.9790382385253906,89.06256103515625,25.76950746738106,6.4051971435546875,13.775775909423828,19.789310455322266,29.868234634399414,68.96031188964844,0.0,当前帧在对应距离范围内没有异常回波,summary.json:全部:B02|anomaly_distance_median|all_frames|all:observation_equal,6.4051971435546875,6.4051971435546875,13.775775909423828,13.775775909423828,19.789310455322266,19.789310455322266,29.868234634399414,29.868234634399414,68.96031188964844,68.96031188964844
全部,B02,每帧全距离异常距离中位数,全部原始帧,全部,帧,有适用观测的帧等权,652,1796,1796,652,4,米,0.6369710467706013,0.6369710467706013,3.9790382385253906,89.06256103515625,25.76950746738106,6.4051971435546875,13.775775909423828,19.789310455322266,29.868234634399414,68.96031188964844,0.0,当前帧在对应距离范围内没有异常回波,summary.json:全部:B02|anomaly_distance_median|all_frames|all:frame_equal,6.4051971435546875,6.4051971435546875,13.775775909423828,13.775775909423828,19.789310455322266,19.789310455322266,29.868234634399414,29.868234634399414,68.96031188964844,68.96031188964844
全部,B02,每帧全距离异常距离中位数,全部原始帧,全部,帧,世界等权（同一背景）,652,1796,1796,652,4,米,0.6369710467706013,0.6369710467706013,3.9790382385253906,89.06256103515625,26.80677318342121,6.6746625900268555,14.00378131866455,23.614713668823242,29.96881866455078,64.17198944091797,0.0,当前帧在对应距离范围内没有异常回波,summary.json:全部:B02|anomaly_distance_median|all_frames|all:sequence_equal,6.6746625900268555,6.6746625900268555,14.00378131866455,14.00378131866455,23.614713668823242,23.614713668823242,29.96881866455078,29.96881866455078,64.17198944091797,64.17198944091797
全部,B02,每帧范围内异常距离中位数,全部原始帧,全部,帧,统计单位等权,578,1796,1796,578,4,米,0.678173719376392,0.678173719376392,3.9790382385253906,48.42607116699219,20.393168486525855,5.922544002532959,13.301419258117676,18.130189895629883,27.91299819946289,43.190185546875,0.0,当前帧在对应距离范围内没有异常回波,summary.json:全部:B02|anomaly_in_range_distance_median|all_frames|all:observation_equal,5.922544002532959,5.922544002532959,13.301419258117676,13.301419258117676,18.130189895629883,18.130189895629883,27.91299819946289,27.91299819946289,43.190185546875,43.190185546875
