normal,anomaly,AP,AUROC,FPR95,threshold,group,anomaly_fraction_pct,normal_p99_9,anomaly_p50,global50_TP,global50_FP,global50_FN,global50_TN,global50_precision_pct,global50_recall_pct,global50_fpr_pct,global75_TP,global75_FP,global75_FN,global75_TN,global75_precision_pct,global75_recall_pct,global75_fpr_pct,global90_TP,global90_FP,global90_FN,global90_TN,global90_precision_pct,global90_recall_pct,global90_fpr_pct,global95_TP,global95_FP,global95_FN,global95_TN,global95_precision_pct,global95_recall_pct,global95_fpr_pct,global99_TP,global99_FP,global99_FN,global99_TN,global99_precision_pct,global99_recall_pct,global99_fpr_pct
24976462,21299,25.877091084173614,99.61496626410651,1.3002081719980998,-9.8125,azimuth:4,0.08520363083717777,2.234375,2.21875,2233,3608,19066,24972854,38.22975517890772,10.4840602845204,0.01444560082208601,9410,20779,11889,24955683,31.17029381562821,44.180477956711584,0.08319432912475754,17381,90129,3918,24886333,16.166868198307135,81.60477017700362,0.3608557529084784,19633,215894,1666,24760568,8.335774667023314,92.1780365275365,0.8643898403224604,21046,1122425,253,23854037,1.8405364018851373,98.81215080520212,4.493931126033783
25514675,0,,,,,azimuth:5,0.0,-1.828125,,0,1453,0,25513222,0.0,,0.005694761936023093,0,4370,0,25510305,0.0,,0.017127398252182322,0,40658,0,25474017,0.0,,0.15935143206801575,0,92525,0,25422150,0.0,,0.3626344446872241,0,341733,0,25172942,0.0,,1.3393586240075563
24636084,0,,,,,azimuth:6,0.0,-4.21875,,0,33,0,24636051,0.0,,0.00013394985988844657,0,2364,0,24633720,0.0,,0.009595680872008717,0,20310,0,24615774,0.0,,0.08244005013134392,0,74033,0,24562051,0.0,,0.30050636294307165,0,320629,0,24315455,0.0,,1.30146089776281
21068715,8885,32.85621175293096,99.00109505404303,5.004870966264435,-14.5625,azimuth:7,0.04215375564580408,-1.109375,-0.1357421875,1000,286,7885,21068429,77.76049766718506,11.254924029262803,0.0013574629492116629,3351,4999,5534,21063716,40.131736526946106,37.715250422059654,0.023727123367514345,5703,49319,3182,21019396,10.364944931118462,64.18683173888576,0.23408641675583916,7073,160656,1812,20908059,4.2169213433574395,79.6060776589758,0.7625334530368844,8466,1097132,419,19971583,0.7657394459830789,95.28418683173888,5.207398742638078
4652268,749,34.69500363186339,99.92509367207208,0.3348259386604555,-8.1875,sequence:137,0.01609708281744941,-2.609375,4.65625,135,136,614,4652132,49.81549815498155,18.024032042723633,0.0029233053641793635,469,1182,280,4651086,28.407026044821322,62.61682242990654,0.025406962797500057,670,5909,79,4646359,10.183918528651771,89.45260347129506,0.12701331909511662,711,14731,38,4637537,4.604325864525321,94.92656875834446,0.3166412597038692,744,90660,5,4561608,0.8139687541026651,99.3324432576769,1.9487269435036847
8321471,2254,95.32263223192359,99.99537852434997,0.009553599357613575,6.125,sequence:138,0.027079222343361898,-1.484375,13.3125,1793,40,461,8321431,97.8177850518276,79.54747116237799,0.00048068424440823025,2196,2031,58,8319440,51.95173882185947,97.42679680567879,0.02440674250982789,2230,14947,24,8306524,12.982476567503056,98.93522626441882,0.17961968502924544,2254,40537,0,8280934,5.267462784230329,100.0,0.4871374303894107,2254,188303,0,8133168,1.1828481766610515,100.0,2.2628571318700743
10201337,2844,76.71602853773507,99.98185648284029,0.04548423407637646,3.84375,sequence:139,0.027870928592897363,0.8984375,11.0,1722,601,1122,10200736,74.12828239345674,60.54852320675106,0.005891384629289278,2723,5829,121,10195508,31.840505144995323,95.74542897327707,0.05713956905844793,2801,25815,43,10175522,9.788230360637405,98.48804500703235,0.253055065233116,2825,61066,19,10140271,4.421593025621762,99.33192686357243,0.59860780993707,2844,271209,0,9930128,1.0377554706571357,100.0,2.6585632844008584
8008759,1465,88.31310550416511,99.99444557798482,0.018055231778106945,4.09375,sequence:140,0.018289126496337682,-2.265625,11.6875,958,88,507,8008671,91.58699808795411,65.39249146757679,0.00109879695468424,1405,1882,60,8006877,42.74414359598418,95.90443686006826,0.023499271235406134,1449,11405,16,7997354,11.272755562470826,98.90784982935153,0.1424065825928836,1465,29128,0,7979631,4.788677148367274,100.0,0.36370179200048347,1465,161503,0,7847256,0.8989494870158559,100.0,2.016579597413282
31991712,18389,74.15523385103818,99.98700268971179,0.024059356373300686,5.46875,sequence:141,0.05744749134031161,-1.9921875,13.8125,14731,3547,3658,31988165,80.59415690994638,80.10767306541955,0.01108724659686859,17880,11986,509,31979726,59.867407754637384,97.23204089401273,0.03746595368200364,18272,47748,117,31943964,27.67646167827931,99.36375006797542,0.1492511560494168,18334,128747,55,31862965,12.465240241771541,99.70090815161238,0.4024386065991092,18389,781117,0,31210595,2.3000452779591396,100.0,2.441623005358388
8365690,1596,8.422638111124078,98.69956864943444,4.880517925000807,-17.25,sequence:142,0.01907428525808727,-1.65625,-1.9140625,33,331,1563,8365359,9.065934065934066,2.0676691729323307,0.003956637169199432,420,2071,1176,8363619,16.86069851465275,26.31578947368421,0.024755877877377718,873,14368,723,8351322,5.727970605603307,54.69924812030075,0.1717491324684515,1074,37188,522,8328502,2.806962521561863,67.29323308270676,0.4445299789975483,1428,197687,168,8168003,0.7171734927052206,89.47368421052632,2.3630686769411726
7571268,3085,87.23325305395295,99.97585324253174,0.08412065191722179,1.8046875,sequence:143,0.040729551421751796,0.9375,14.6875,2550,853,535,7570415,74.93388186893917,82.6580226904376,0.011266276665942878,2871,4941,214,7566327,36.75115207373272,93.06320907617504,0.06525987456790593,3040,17060,45,7554208,15.124378109452737,98.54132901134521,0.22532553331885755,3063,39309,22,7531959,7.228830359671481,99.28687196110211,0.519186482369928,3080,185880,5,7385388,1.6299745977984759,99.83792544570503,2.4550709339571655
7455833,4508,91.02728074274144,99.9941301563366,0.011051749683771083,6.59375,sequence:144,0.060426192314801695,-2.515625,12.0,3240,378,1268,7455455,89.55223880597015,71.87222715173026,0.00506985604425421,4430,1795,78,7454038,71.16465863453816,98.26974267968056,0.024075110051418804,4479,9809,29,7446024,31.3479843225084,99.3566992014197,0.13156142311663901,4506,24843,2,7430990,15.353163651231728,99.95563442768412,0.3332022055751517,4508,132666,0,7323167,3.286337060959074,100.0,1.779358523722299
8379629,3712,91.00411182498091,99.99290016872496,0.0341184556022707,1.890625,sequence:145,0.04427828952681276,-1.765625,12.6875,2674,296,1038,8379333,90.03367003367003,72.03663793103448,0.0035323759560238286,3472,1819,240,8377810,65.62086562086562,93.53448275862068,0.02170740494597076,3686,13144,26,8366485,21.90136660724896,99.29956896551724,0.15685658637154462,3711,31033,1,8348596,10.680980888786554,99.97306034482759,0.37033859136245767,3712,155229,0,8224400,2.3354578113891318,100.0,1.852456713775753
5166306,1455,76.02335624170561,99.97358827268611,0.08712221072464543,-1.7578125,sequence:146,0.02815532684270809,-2.28125,11.5,850,340,605,5165966,71.42857142857143,58.419243986254294,0.006581104564847688,1256,1315,199,5164991,48.85258654220148,86.32302405498282,0.025453389714043265,1409,7613,46,5158693,15.617379738417203,96.83848797250859,0.14735867368289837,1440,22472,15,5143834,6.022080963532954,98.96907216494846,0.43497229935663895,1453,114687,2,5051619,1.2510762872395385,99.86254295532646,2.2199033506726082
10820924,2811,68.79893336161548,99.98424811863906,0.04027382504488526,3.984375,sequence:147,0.025970702349974385,0.1923828125,12.25,2057,732,754,10820192,73.7540337038365,73.17680540732836,0.006764671852422214,2697,5536,114,10815388,32.7584112717114,95.94450373532551,0.05116014122269041,2778,23248,33,10797676,10.673941443172213,98.82604055496265,0.21484302079933285,2797,53065,14,10767859,5.006981490100605,99.50195659907506,0.4903925025256623,2809,236071,2,10584853,1.1759042196918954,99.928850942725,2.1816159137611537
11781979,3050,60.505014163124486,99.98633360905266,0.03129355433412333,4.3125,sequence:148,0.0258802927001707,-1.34375,12.9375,2254,1243,796,11780736,64.45524735487561,73.90163934426229,0.010550010316603008,2948,4839,102,11777140,37.857968408886606,96.65573770491804,0.041071198650073984,3033,20181,17,11761798,13.065391574050143,99.44262295081967,0.17128701383697933,3040,51273,10,11730706,5.597186677222765,99.67213114754098,0.4351815599060226,3050,261393,0,11520586,1.1533676444451166,100.0,2.2185831429507727
10115079,2800,61.942872128138774,99.97695993561409,0.038951747188529125,3.03125,sequence:149,0.027673784199237803,-0.91015625,11.5,1768,866,1032,10114213,67.12224753227031,63.142857142857146,0.00856147539727569,2662,4008,138,10111071,39.91004497751124,95.07142857142857,0.03962401084559004,2764,20006,36,10095073,12.138779095300835,98.71428571428571,0.19778392239941972,2782,49333,18,10065746,5.3381943778182865,99.35714285714286,0.48771739696743843,2796,231279,4,9883800,1.1944889458506889,99.85714285714286,2.2864774461969106
15720518,5344,79.43446499379303,99.96880246080809,0.03202184559058423,4.09375,sequence:150,0.033982238938634966,-0.68359375,12.9375,3838,799,1506,15719719,82.76903170153116,71.8188622754491,0.005082529723257211,5136,6435,208,15714083,44.386829141820066,96.10778443113773,0.040933765668535856,5229,31945,115,15688573,14.066282885887986,97.84805389221557,0.20320577222709837,5269,82510,75,15638008,6.002574647694779,98.59655688622755,0.5248554786807915,5335,407692,9,15312826,1.2916831103051374,99.8315868263473,2.59337510379747
4798697,1054,79.9848546284412,99.990088124092,0.019901235689604908,4.1875,sequence:151,0.021959472480968283,-2.125,15.5625,780,523,274,4798174,59.86185725249425,74.00379506641366,0.010898791901218185,1012,1311,42,4797386,43.56435643564357,96.01518026565465,0.027319916218923594,1041,6762,13,4791935,13.341022683583237,98.76660341555977,0.14091325207655328,1052,17746,2,4780951,5.596340036174061,99.81024667931689,0.36980872099238604,1054,96624,0,4702073,1.0790556727205716,100.0,2.013546594002497
5935012,1029,64.97770197383139,99.89510168799578,0.6094511687592207,-10.375,sequence:152,0.017334785928870774,-2.828125,10.625,535,160,494,5934852,76.97841726618705,51.99222546161322,0.00269586649529942,709,1122,320,5933890,38.72200983069361,68.90184645286686,0.01890476379828718,886,7483,143,5927529,10.58668897120325,86.10301263362489,0.12608230615203475,948,21277,81,5913735,4.265466816647919,92.12827988338192,0.35849969637803597,1020,109004,9,5826008,0.927070457354759,99.12536443148689,1.8366264465851123
6498230,3149,95.4699266378477,99.99548481733349,0.012695764846735189,7.46875,sequence:153,0.04843587798834678,1.375,14.375,2509,177,640,6498053,93.41027550260611,79.67608764687202,0.002723818639845004,3108,4052,41,6494178,43.40782122905028,98.69799936487775,0.06235544140481331,3137,17027,12,6481203,15.557429081531442,99.61892664337886,0.26202519763073945,3149,34957,0,6463273,8.263790479189629,100.0,0.5379464869664509,3149,150694,0,6347536,2.0468919612852066,100.0,2.319000712501712
6556876,2334,60.39556747906687,99.85080207391887,0.6601009383126965,-8.0,sequence:169,0.0355835535072059,-2.734375,3.90625,147,24,2187,6556852,85.96491228070175,6.298200514138817,0.00036602796819704993,1394,708,940,6556168,66.31779257849666,59.72579263067695,0.010797825061812974,2120,9279,214,6547597,18.598122642337046,90.8311910882605,0.14151556320418443,2216,42515,118,6514361,4.954058706489906,94.94430162810626,0.6484032944957324,2333,472055,1,6084821,0.49179152929669384,99.95715509854327,7.199388855302433
