anomaly,normal,AP_loss
P149:2,N141:75,0.011191674605218652
P142:2,N138:85,0.011145832719101665
P139:7,N140:176,0.011144610774203579
P125:1,N140:588,0.011137681003831515
P144:5,N141:1,0.01113525701658458
P143:3,N140:1774,0.011128025539994577
P149:3,N148:46,0.011090046327002074
P141:5,N141:2035,0.011086459712396052
P141:4,N140:1774,0.01104580403756235
P141:4,N143:306,0.011016109427351364
P146:2,N148:46,0.011010791383331475
P142:2,N146:67,0.010980874187592148
P125:1,N147:322,0.010818845003779711
P148:2,N141:1776,0.010812836995705347
P147:2,N144:47,0.010759197564722772
P125:1,N141:1232,0.010746940267940536
P169:1,N150:599,0.01067861092827895
P125:1,N153:536,0.010542101718557113
P141:5,N151:36,0.010503741011807517
P125:1,N152:264,0.010427491023116266
P143:3,N141:2038,0.010345458182786815
P125:1,N125:1529,0.010269004403716316
P144:3,N125:30,0.010176637277521338
P125:1,N152:413,0.010137452583191955
P145:1,N125:30,0.010136223986671408
P151:1,N147:49,0.01011741280833914
P125:1,N147:737,0.010091433824430595
P149:3,N144:47,0.010069371171747955
P153:30551,N147:49,0.010054555039060135
P125:1,N141:267,0.009988591163122274
P125:1,N147:169,0.009964107417999926
P146:2,N144:47,0.009927212455817177
P138:5,N141:1776,0.00991305566789349
P150:2,N147:49,0.009876791401718966
P140:1,N147:49,0.009817225167463986
P125:1,N148:276,0.00979250886122687
P142:2,N140:176,0.009730484294027824
P125:1,N139:1367,0.009647392111208103
P125:1,N142:1224,0.009568168686098508
P152:1,N147:49,0.009565944746943235
P141:4,N144:595,0.0095401848553197
P125:1,N150:1171,0.009456867549704427
P153:30550,N125:30,0.009446461232348215
P150:2,N153:73,0.009438342367301828
P151:1,N153:73,0.009430622670938495
P149:3,N141:1776,0.009392329981481788
P146:2,N141:1,0.009379792644811782
P147:2,N141:1776,0.009339752286347173
P142:2,N152:190,0.009331306012829284
P125:1,N148:1393,0.009317945656456895
P138:5,N138:85,0.009311201370188519
P169:1,N138:1045,0.009292930428543492
P138:5,N146:67,0.00926468558038988
P138:5,N150:90,0.009256257339365002
P125:1,N144:290,0.009238684183866211
P125:1,N142:707,0.009231385046498708
P141:5,N141:1,0.009155209445702224
P148:2,N138:85,0.009145689972549687
P138:5,N145:69,0.009098071656294884
P140:1,N153:73,0.00908378792864902
P139:7,N152:190,0.009069399407960354
P125:1,N148:1397,0.009065351212374964
P125:1,N141:1221,0.008997009557369158
P148:2,N145:69,0.00895295408633603
P145:2,N147:49,0.008949857361858214
P141:5,N139:514,0.008892345026620228
P153:30551,N153:73,0.008883347109433582
P125:1,N145:161,0.008863212499607724
P150:3,N125:30,0.008842320318304897
P144:5,N138:85,0.008810096433550145
P142:3,N169:144,0.008736676458104126
P148:2,N146:67,0.008724182970040283
P138:5,N149:56,0.008703376887124309
P139:7,N151:36,0.008678850767300602
P149:2,N125:30,0.008647844340946483
P125:1,N141:1916,0.008642495802699001
P125:1,N143:445,0.008636889189126843
P125:1,N146:305,0.008619971979370731
P139:7,N141:2035,0.008583606358459582
P125:1,N145:453,0.008575104393344968
P148:2,N150:90,0.008573652163540784
P148:2,N149:56,0.008545888532119562
P151:1,N148:46,0.00850898364065151
P152:1,N153:73,0.008471737731567537
P144:5,N149:56,0.008352659885253086
P139:7,N143:94,0.008313508312503392
P150:2,N148:46,0.00829625625077113
P125:1,N150:1559,0.008212523163165376
P152:1,N148:46,0.008198608784542677
P125:1,N139:1369,0.008173748418669666
P145:2,N153:73,0.008167540029067546
P139:7,N141:1,0.008111922809462959
P137:3,N147:49,0.008090168658202964
P125:1,N125:1389,0.008056897822905432
P143:3,N169:144,0.008040036575153394
P125:1,N141:1268,0.008006616064968811
P147:2,N138:85,0.007975882788550959
P125:1,N147:738,0.007958533604473053
P143:3,N144:595,0.007957278905722266
P146:2,N150:90,0.007905989282075792
P143:3,N148:1395,0.007879918788207752
P125:1,N125:902,0.007874009593515079
P140:1,N148:46,0.00787149320246261
P145:2,N141:1,0.0078481697782645
P153:30551,N148:46,0.007830390016933373
P147:2,N145:69,0.0078105871060726445
P125:1,N153:535,0.007810577399593432
P150:2,N144:47,0.007760165172921503
P151:1,N144:47,0.007752489701819341
P141:4,N148:1395,0.007747692907157589
P144:5,N145:69,0.007676475468828124
P142:3,N137:45,0.00763750962187271
P147:2,N149:56,0.00760597375159862
P125:1,N150:579,0.007554333421196906
P125:1,N138:518,0.007516476887359933
P137:3,N153:73,0.007511553462196805
P147:2,N146:67,0.007503045991788605
P146:2,N146:67,0.007464503090705393
P146:2,N145:69,0.007411686848872802
P146:2,N138:85,0.007401881580973274
P147:2,N150:90,0.007399445174608829
P125:1,N151:535,0.007390557686771893
P149:3,N138:85,0.007341234068227386
P152:1,N144:47,0.0073298640628190834
P125:1,N147:274,0.007324830676534087
P139:7,N139:514,0.007311090541216233
P145:1,N147:49,0.007263903869049434
P125:1,N148:696,0.0072630731520883516
P145:2,N148:46,0.007240412416404703
P142:2,N151:36,0.007214317191315012
P140:1,N144:47,0.007171299906657871
P142:2,N139:514,0.007169323132315924
P143:3,N141:1,0.007127780959139642
P146:2,N149:56,0.007125522320770357
P150:4,N137:45,0.0071042421162670006
P125:1,N152:685,0.0070740164083092525
P125:1,N149:213,0.007028559810758875
P149:3,N145:69,0.007024668717999339
P125:1,N139:797,0.007016576855132023
P169:1,N140:1774,0.007016097940935632
P153:30551,N144:47,0.00695477601576766
P125:1,N139:867,0.006929346720065492
P125:1,N149:744,0.0069288027941019105
P125:1,N149:358,0.006922168301119294
P138:5,N140:176,0.006886105385515079
P137:3,N148:46,0.006871712047547797
P153:30551,N141:1776,0.006819728397990944
P149:3,N146:67,0.006805685331429675
P169:1,N125:21,0.006805029640246812
P146:2,N141:1776,0.006734580046272129
