parent,fragment,AP_loss,points,world_cell,first_frame,last_frame,observations,profiled
N141:75,N141:75/39_-205_-13/296,1.2248624563005396e-05,1729,"[39, -205, -13]",296,325,30,False
N141:75,N141:75/40_-219_-14/333,1.2245869192973095e-05,1473,"[40, -219, -14]",333,364,32,False
N141:75,N141:75/44_-286_-20/593,1.2237337858692014e-05,163,"[44, -286, -20]",593,618,26,False
N141:75,N141:75/40_-227_-15/571,1.2231800014654272e-05,13,"[40, -227, -15]",571,575,5,False
N141:75,N141:75/37_-292_-21/501,1.2224679750197831e-05,3,"[37, -292, -21]",501,503,3,False
N141:75,N141:75/46_-267_-20/362,1.2222269017965108e-05,2,"[46, -267, -20]",362,363,2,False
N141:75,N141:75/43_-137_-8/261,1.2216682033827296e-05,3,"[43, -137, -8]",261,261,1,False
N141:75,N141:75/37_-210_-14/293,1.2207573154932237e-05,4,"[37, -210, -14]",293,295,3,False
N141:75,N141:75/38_-170_-11/287,1.2199530246430148e-05,615,"[38, -170, -11]",287,314,28,False
N141:75,N141:75/37_-177_-12/303,1.2198657804502775e-05,157,"[37, -177, -12]",303,324,22,False
N141:75,N141:75/39_-234_-16/349,1.2192043834659783e-05,517,"[39, -234, -16]",349,405,57,False
N141:75,N141:75/33_-176_-11/278,1.2186897427127323e-05,3718,"[33, -176, -11]",278,295,18,False
N141:75,N141:75/42_-204_-13/510,1.2170704844939376e-05,3,"[42, -204, -13]",510,512,3,False
N141:75,N141:75/36_-136_-8/303,1.2169714039059311e-05,3,"[36, -136, -8]",303,305,3,False
N141:75,N141:75/35_-142_-9/333,1.2166704215929206e-05,2,"[35, -142, -9]",333,334,2,False
N141:75,N141:75/40_-225_-15/600,1.2161008804715962e-05,2,"[40, -225, -15]",600,600,1,False
N141:75,N141:75/40_-176_-11/386,1.21576093841457e-05,38,"[40, -176, -11]",386,400,15,False
N141:75,N141:75/45_-230_-15/489,1.214848472711211e-05,149,"[45, -230, -15]",489,514,26,False
N141:75,N141:75/41_-201_-13/285,1.2140876824460216e-05,1455,"[41, -201, -13]",285,316,32,False
N141:75,N141:75/38_-223_-15/595,1.2136001547203912e-05,8,"[38, -223, -15]",595,598,4,False
N141:75,N141:75/36_-160_-10/353,1.2132285430635985e-05,2,"[36, -160, -10]",353,354,2,False
N141:75,N141:75/15_-274_-17/614,1.2132172539656897e-05,9,"[15, -274, -17]",614,617,4,False
N141:75,N141:75/43_-205_-14/456,1.2131176746735765e-05,23,"[43, -205, -14]",456,462,7,False
N141:75,N141:75/45_-246_-17/455,1.2127685070119066e-05,1662,"[45, -246, -17]",455,485,31,False
N141:75,N141:75/38_-215_-14/512,1.2118831619181047e-05,24,"[38, -215, -14]",512,527,16,False
N141:75,N141:75/44_-245_-17/455,1.2115405577622856e-05,1526,"[44, -245, -17]",455,482,28,False
N141:75,N141:75/42_-262_-19/475,1.2109498003238898e-05,2577,"[42, -262, -19]",475,520,46,False
N141:75,N141:75/38_-198_-13/273,1.2107775957401423e-05,1424,"[38, -198, -13]",273,310,38,False
N141:75,N141:75/38_-194_-13/488,1.2103804780289155e-05,4,"[38, -194, -13]",488,490,3,False
N141:75,N141:75/3_-274_-16/606,1.2099563966932901e-05,10,"[3, -274, -16]",606,611,6,False
N141:75,N141:75/32_-287_-20/503,1.2099554332057872e-05,4,"[32, -287, -20]",503,505,3,False
N141:75,N141:75/44_-214_-14/567,1.2086463051291776e-05,5,"[44, -214, -14]",567,570,4,False
N141:75,N141:75/44_-206_-14/481,1.208633500149797e-05,9,"[44, -206, -14]",481,483,3,False
N141:75,N141:75/41_-171_-11/287,1.2082454047332917e-05,851,"[41, -171, -11]",287,327,41,False
N141:75,N141:75/39_-229_-15/594,1.2078455400899654e-05,6,"[39, -229, -15]",594,596,3,False
N141:75,N141:75/36_-154_-10/356,1.2067239370009804e-05,2,"[36, -154, -10]",356,357,2,False
N141:75,N141:75/42_-173_-11/351,1.2051380506957869e-05,14,"[42, -173, -11]",351,354,4,False
N141:75,N141:75/38_-221_-15/582,1.2046579901086182e-05,4,"[38, -221, -15]",582,584,3,False
N141:75,N141:75/42_-204_-12/608,1.2024702532850559e-05,1,"[42, -204, -12]",608,608,1,False
N141:75,N141:75/38_-219_-15/560,1.2022881745316936e-05,5,"[38, -219, -15]",560,563,4,False
N141:75,N141:75/37_-191_-13/372,1.2014115239915538e-05,42,"[37, -191, -13]",372,385,14,False
N141:75,N141:75/45_-259_-19/597,1.200737895994952e-05,1260,"[45, -259, -19]",597,618,22,False
N141:75,N141:75/37_-192_-13/471,1.2005110619939603e-05,4,"[37, -192, -13]",471,472,2,False
N141:75,N141:75/41_-226_-15/559,1.1991974089501288e-05,26,"[41, -226, -15]",559,565,7,False
N141:75,N141:75/35_-178_-11/294,1.1991612866694757e-05,139,"[35, -178, -11]",294,298,5,False
N141:75,N141:75/39_-186_-12/271,1.1970785520074758e-05,1338,"[39, -186, -12]",271,290,20,False
N141:75,N141:75/39_-278_-21/375,1.195315680370829e-05,2,"[39, -278, -21]",375,376,2,False
N141:75,N141:75/43_-227_-15/473,1.1952455257993823e-05,645,"[43, -227, -15]",473,508,36,False
N141:75,N141:75/37_-204_-13/455,1.194780521647182e-05,45,"[37, -204, -13]",455,461,7,False
N141:75,N141:75/41_-153_-10/356,1.1933803295275874e-05,3,"[41, -153, -10]",356,358,3,False
N141:75,N141:75/39_-273_-20/355,1.1932895241291154e-05,1,"[39, -273, -20]",355,355,1,False
N141:75,N141:75/45_-285_-22/465,1.1932895241291154e-05,1,"[45, -285, -22]",465,465,1,False
N141:75,N141:75/39_-203_-13/288,1.1932658660633832e-05,1765,"[39, -203, -13]",288,320,33,False
N141:75,N141:75/39_-217_-14/271,1.192905933941862e-05,3,"[39, -217, -14]",271,273,3,False
N141:75,N141:75/40_-173_-11/290,1.191792146362077e-05,841,"[40, -173, -11]",290,324,35,False
N141:75,N141:75/44_-229_-15/476,1.1883592143479154e-05,705,"[44, -229, -15]",476,502,27,False
N141:75,N141:75/44_-242_-17/455,1.185968359097947e-05,1408,"[44, -242, -17]",455,477,23,False
N141:75,N141:75/37_-194_-13/261,1.1845314583327479e-05,1,"[37, -194, -13]",261,261,1,False
N141:75,N141:75/45_-261_-19/602,1.1842162180409975e-05,1245,"[45, -261, -19]",602,618,17,False
N141:75,N141:75/45_-231_-16/596,1.1840363417092525e-05,3,"[45, -231, -16]",596,597,2,False
N141:75,N141:75/42_-204_-13/305,1.1837013659179194e-05,2,"[42, -204, -13]",305,306,2,False
N141:75,N141:75/36_-125_-7/280,1.1821021481812969e-05,3,"[36, -125, -7]",280,280,1,False
N141:75,N141:75/39_-232_-16/344,1.1807276207148555e-05,796,"[39, -232, -16]",344,405,62,False
N141:75,N141:75/42_-302_-23/517,1.1797616492941878e-05,3,"[42, -302, -23]",517,518,2,False
N141:75,N141:75/37_-277_-20/605,1.1768166756317864e-05,2134,"[37, -277, -20]",605,618,14,False
N141:75,N141:75/39_-265_-19/401,1.1761981744475165e-05,1,"[39, -265, -19]",401,401,1,False
N141:75,N141:75/44_-213_-14/509,1.1761981744475165e-05,1,"[44, -213, -14]",509,509,1,False
N141:75,N141:75/45_-238_-16/607,1.1757106259583068e-05,29,"[45, -238, -16]",607,618,12,False
N141:75,N141:75/38_-186_-12/271,1.1754310948166097e-05,1266,"[38, -186, -12]",271,290,20,False
N141:75,N141:75/43_-168_-11/351,1.1709457787892312e-05,7,"[43, -168, -11]",351,353,3,False
N141:75,N141:75/39_-264_-19/362,1.1706532601642464e-05,1,"[39, -264, -19]",362,362,1,False
N141:75,N141:75/36_-281_-20/393,1.1704962706718321e-05,2,"[36, -281, -20]",393,393,1,False
N141:75,N141:75/45_-240_-17/307,1.1702423672427786e-05,2,"[45, -240, -17]",307,308,2,False
N141:75,N141:75/39_-232_-16/579,1.169635240581395e-05,14,"[39, -232, -16]",579,583,5,False
N141:75,N141:75/37_-203_-13/261,1.1670566888717719e-05,2,"[37, -203, -13]",261,261,1,False
N141:75,N141:75/36_-204_-13/296,1.164772800427731e-05,62,"[36, -204, -13]",296,307,12,False
N141:75,N141:75/44_-227_-15/581,1.1647012111383503e-05,6,"[44, -227, -15]",581,583,3,False
N141:75,N141:75/38_-225_-15/529,1.1637266907064991e-05,5,"[38, -225, -15]",529,533,5,False
N141:75,N141:75/39_-193_-13/460,1.1620150054283046e-05,9,"[39, -193, -13]",460,463,4,False
N141:75,N141:75/40_-267_-20/373,1.1611506045011172e-05,16,"[40, -267, -20]",373,382,10,False
N141:75,N141:75/42_-270_-20/502,1.1588897074511634e-05,4230,"[42, -270, -20]",502,595,94,False
N141:75,N141:75/41_-224_-15/572,1.158803147576699e-05,1,"[41, -224, -15]",572,572,1,False
N141:75,N141:75/36_-152_-9/339,1.1570530340937142e-05,3,"[36, -152, -9]",339,341,3,False
N141:75,N141:75/42_-126_-7/267,1.1567631329833478e-05,3,"[42, -126, -7]",267,268,2,False
N141:75,N141:75/37_-195_-13/261,1.1558571243359598e-05,2,"[37, -195, -13]",261,261,1,False
N141:75,N141:75/36_-205_-13/357,1.155646049344527e-05,562,"[36, -205, -13]",357,405,49,False
N141:75,N141:75/45_-242_-17/607,1.1541974329507061e-05,40,"[45, -242, -17]",607,618,12,False
N141:75,N141:75/38_-281_-21/402,1.1540820290994153e-05,1,"[38, -281, -21]",402,402,1,False
N141:75,N141:75/37_-203_-13/486,1.1540820290994153e-05,1,"[37, -203, -13]",486,486,1,False
N141:75,N141:75/36_-200_-13/474,1.1538849410393702e-05,3,"[36, -200, -13]",474,476,3,False
N141:75,N141:75/38_-294_-22/569,1.1522020688300154e-05,194,"[38, -294, -22]",569,616,48,False
N141:75,N141:75/47_-287_-22/468,1.1513331874035314e-05,1,"[47, -287, -22]",468,468,1,False
N141:75,N141:75/38_-212_-14/455,1.15131956283629e-05,39,"[38, -212, -14]",455,465,11,False
N141:75,N141:75/37_-190_-12/486,1.15084892303214e-05,4,"[37, -190, -12]",486,488,3,False
N141:75,N141:75/39_-116_-7/274,1.1476462459366103e-05,2,"[39, -116, -7]",274,274,1,False
N141:75,N141:75/38_-199_-13/479,1.147175031192021e-05,3,"[38, -199, -13]",479,480,2,False
N141:75,N141:75/36_-246_-17/489,1.1466067344031474e-05,773,"[36, -246, -17]",489,495,7,False
N141:75,N141:75/37_-181_-12/365,1.145876183134448e-05,24,"[37, -181, -12]",365,373,9,False
N141:75,N141:75/40_-161_-10/274,1.1449538615196906e-05,692,"[40, -161, -10]",274,299,26,False
N141:75,N141:75/36_-140_-8/293,1.1446703581596467e-05,1,"[36, -140, -8]",293,293,1,False
N141:75,N141:75/38_-195_-13/455,1.1442233321391243e-05,24,"[38, -195, -13]",455,464,10,False
N141:75,N141:75/44_-211_-14/495,1.1440680724642516e-05,8,"[44, -211, -14]",495,497,3,False
N141:75,N141:75/42_-211_-14/567,1.1433558841039652e-05,5,"[42, -211, -14]",567,570,4,False
N141:75,N141:75/41_-275_-20/594,1.1423859475932953e-05,1748,"[41, -275, -20]",594,608,15,False
N141:75,N141:75/44_-212_-14/309,1.1423003269131018e-05,1983,"[44, -212, -14]",309,347,39,False
N141:75,N141:75/35_-291_-21/458,1.1421420139481017e-05,2,"[35, -291, -21]",458,458,1,False
N141:75,N141:75/41_-219_-14/577,1.140368663960377e-05,1,"[41, -219, -14]",577,577,1,False
N141:75,N141:75/43_-187_-12/313,1.139976773048977e-05,735,"[43, -187, -12]",313,334,22,False
N141:75,N141:75/43_-212_-14/303,1.1397602570410841e-05,1902,"[43, -212, -14]",303,345,43,False
N141:75,N141:75/40_-256_-18/589,1.1386036356597213e-05,715,"[40, -256, -18]",589,618,30,False
N141:75,N141:75/43_-153_-10/271,1.138018094019132e-05,239,"[43, -153, -10]",271,295,25,False
N141:75,N141:75/42_-184_-12/307,1.1368674173119483e-05,784,"[42, -184, -12]",307,354,48,False
N141:75,N141:75/37_-151_-10/278,1.1359337047122946e-05,4,"[37, -151, -10]",278,278,1,False
N141:75,N141:75/44_-241_-17/455,1.1358472419216648e-05,1425,"[44, -241, -17]",455,475,21,False
N141:75,N141:75/15_-273_-17/614,1.1349290836448148e-05,16,"[15, -273, -17]",614,618,5,False
N141:75,N141:75/41_-187_-12/363,1.133702057140882e-05,11,"[41, -187, -12]",363,364,2,False
N141:75,N141:75/45_-230_-16/590,1.133054742456501e-05,6,"[45, -230, -16]",590,593,4,False
N141:75,N141:75/37_-199_-13/302,1.1324096056254553e-05,144,"[37, -199, -13]",302,313,12,False
N141:75,N141:75/44_-176_-12/294,1.1320892046965709e-05,325,"[44, -176, -12]",294,336,43,False
N141:75,N141:75/42_-222_-15/304,1.1319559263175388e-05,12,"[42, -222, -15]",304,309,6,False
N141:75,N141:75/43_-185_-12/309,1.1318186387986597e-05,510,"[43, -185, -12]",309,339,31,False
N141:75,N141:75/39_-218_-15/500,1.1306133578492258e-05,1,"[39, -218, -15]",500,500,1,False
N141:75,N141:75/37_-291_-21/525,1.1300572413582449e-05,2,"[37, -291, -21]",525,526,2,False
N141:75,N141:75/42_-210_-14/567,1.1268916728426051e-05,2,"[42, -210, -14]",567,567,1,False
N141:75,N141:75/38_-224_-15/298,1.1263101137903937e-05,3,"[38, -224, -15]",298,299,2,False
N141:75,N141:75/34_-276_-20/520,1.1251580139601199e-05,976,"[34, -276, -20]",520,618,99,False
