threshold,tp,fp,precision,recall
-0.11767578125,84606,257353,0.24741562584988258,0.9669367649915999
-0.1181640625,84608,257427,0.24736649758065696,0.9669596223956846
-0.11865234375,84610,257499,0.24731883697885762,0.9669824797997691
-0.119140625,84611,257563,0.24727477832915418,0.9669939085018114
-0.11962890625,84611,257608,0.2472422629953334,0.9669939085018114
-0.1201171875,84611,257665,0.24720108917949257,0.9669939085018114
-0.12060546875,84611,257723,0.2471592070901517,0.9669939085018114
-0.12109375,84611,257786,0.24711373055254574,0.9669939085018114
-0.12158203125,84613,257838,0.24708060423243033,0.967016765905896
-0.1220703125,84613,257913,0.24702650309757507,0.967016765905896
-0.12255859375,84613,257980,0.24697819278268968,0.967016765905896
-0.123046875,84614,258049,0.24693065781832296,0.9670281946079384
-0.12353515625,84615,258108,0.24689034584781297,0.9670396233099807
-0.1240234375,84615,258177,0.24684064972344746,0.9670396233099807
-0.12451171875,84615,258227,0.24680465053873213,0.9670396233099807
-0.125,84616,258323,0.24673775802693773,0.967051052012023
-0.1259765625,84619,258455,0.2466494109142634,0.9670853381181499
-0.126953125,84622,258572,0.24657190976532223,0.9671196242242769
-0.1279296875,84625,258680,0.24650092483360278,0.9671539103304038
-0.12890625,84628,258813,0.24641204748413847,0.9671881964365308
-0.1298828125,84628,258910,0.24634247157519693,0.9671881964365308
-0.130859375,84628,259046,0.24624498798279765,0.9671881964365308
-0.1318359375,84631,259166,0.24616561517407073,0.9672224825426576
-0.1328125,84632,259298,0.24607332887506178,0.9672339112446999
-0.1337890625,84634,259422,0.24598902504243494,0.9672567686487845
-0.134765625,84635,259549,0.24590044859726193,0.9672681973508269
-0.1357421875,84637,259686,0.24580698936754153,0.9672910547549115
-0.13671875,84637,259829,0.24570494620659222,0.9672910547549115
-0.1376953125,84640,259958,0.2456195334853946,0.9673253408610384
-0.138671875,84641,260088,0.2455290967687662,0.9673367695630807
-0.1396484375,84643,260195,0.24545728718992688,0.9673596269671654
-0.140625,84644,260318,0.245371954012326,0.9673710556692077
-0.1416015625,84645,260437,0.24528952538816862,0.96738248437125
-0.142578125,84648,260560,0.24520868577784988,0.9674167704773768
-0.1435546875,84648,260708,0.24510360323839747,0.9674167704773768
-0.14453125,84652,260834,0.24502295317321107,0.9674624852855461
-0.1455078125,84654,260964,0.24493515962710274,0.9674853426896307
-0.146484375,84655,261098,0.2448424164070883,0.967496771391673
-0.1474609375,84657,261213,0.244765374273571,0.9675196287957577
-0.1484375,84657,261348,0.24466987471279317,0.9675196287957577
-0.1494140625,84658,261480,0.24457875182730587,0.9675310574978
-0.150390625,84659,261592,0.24450182093336914,0.9675424861998423
-0.1513671875,84662,261715,0.24442154069121216,0.9675767723059692
-0.15234375,84662,261839,0.24433407118594175,0.9675767723059692
-0.1533203125,84664,261981,0.24423834181944065,0.9675996297100539
-0.154296875,84667,262113,0.24415191187496396,0.9676339158161807
-0.1552734375,84668,262249,0.2440583770757847,0.967645344518223
-0.15625,84670,262363,0.24398256073629884,0.9676682019223077
-0.1572265625,84676,262495,0.24390286054998833,0.9677367741345615
-0.158203125,84679,262615,0.24382511647192293,0.9677710602406885
-0.1591796875,84683,262743,0.24374399152625306,0.9678167750488577
-0.16015625,84683,262873,0.2436528214158294,0.9678167750488577
-0.1611328125,84683,263019,0.24355051164502936,0.9678167750488577
-0.162109375,84687,263146,0.2434702860280652,0.9678624898570269
-0.1630859375,84687,263271,0.24338282206473194,0.9678624898570269
-0.1640625,84691,263393,0.2433062134427322,0.9679082046651962
-0.1650390625,84692,263521,0.24321894932124877,0.9679196333672385
-0.166015625,84693,263663,0.2431219786655031,0.9679310620692808
-0.1669921875,84695,263795,0.2430342334069844,0.9679539194733654
-0.16796875,84695,263913,0.24295196897374702,0.9679539194733654
-0.1689453125,84696,264040,0.24286566342448154,0.9679653481754077
-0.169921875,84697,264159,0.24278498864861145,0.96797677687745
-0.1708984375,84701,264283,0.2427074020585471,0.9680224916856193
-0.171875,84702,264432,0.2426059908230078,0.9680339203876616
-0.1728515625,84707,264549,0.242535561307465,0.9680910638978731
-0.173828125,84708,264692,0.2424384659416142,0.9681024925999154
-0.1748046875,84708,264813,0.2423545366372836,0.9681024925999154
-0.17578125,84711,264954,0.2422633091673459,0.9681367787060423
-0.1767578125,84713,265082,0.2421789905516088,0.968159636110127
-0.177734375,84715,265230,0.24208089842689565,0.9681824935142116
-0.1787109375,84717,265351,0.24200155398379744,0.9682053509182962
-0.1796875,84717,265475,0.24191586329784803,0.9682053509182962
-0.1806640625,84717,265609,0.24182333026952038,0.9682053509182962
-0.181640625,84717,265752,0.24172466038365734,0.9682053509182962
-0.1826171875,84721,265888,0.24163954718789307,0.9682510657264655
-0.18359375,84725,266006,0.24156689884840518,0.9682967805346346
