anomaly,normal,AP_loss
P145:1,N144:47,0.005472605739056946
P137:3,N138:85,0.005465905899015937
P138:5,N146:67,0.005458138078829155
P125:1,N145:582,0.0054516493776900765
P148:2,N152:190,0.00542559788897332
P146:2,N140:176,0.005420320479686274
P144:3,N125:30,0.005411831896425273
P149:2,N153:73,0.005406674442203124
P147:2,N140:176,0.005406389024828892
P145:1,N125:30,0.005343931916700939
P141:4,N169:144,0.005340378355751878
P125:1,N151:746,0.005308977481426694
P145:2,N145:69,0.005296776725621368
P145:1,N150:90,0.005291312430770318
P149:3,N149:56,0.00520954659944504
P125:1,N139:579,0.005186807343497154
P150:4,N141:2038,0.005180254873395236
P152:1,N149:56,0.005173401583178092
P125:1,N141:267,0.005170920609751204
P142:2,N137:45,0.005115297784702282
P138:5,N141:2035,0.005022630836624255
P144:5,N152:190,0.005022087301836753
P125:1,N139:914,0.005018506586523856
P139:7,N141:2038,0.005014964354768378
P150:3,N125:30,0.004981826335317796
P153:30551,N145:69,0.004945970535780297
P144:3,N153:73,0.0049044454661176
P152:1,N141:1,0.004856833605151773
P148:2,N139:514,0.004853743545969929
P146:2,N151:36,0.004849123608656445
P151:1,N138:85,0.004766365392546422
P145:2,N149:56,0.004763019895698609
P150:2,N145:69,0.004759264630877556
P145:1,N138:85,0.004752943714524892
P145:2,N146:67,0.0047428381698024205
P149:2,N147:49,0.004728818222535485
P149:2,N150:90,0.004718068558855978
P153:30551,N146:67,0.004709968113772755
P145:2,N141:2035,0.0046587861778863635
P152:1,N146:67,0.004646838534232394
P140:1,N145:69,0.004625344940167897
P125:1,N139:797,0.004616593130193637
P151:1,N148:46,0.004614606525261897
P149:3,N141:2035,0.004607367004776854
P138:5,N140:176,0.004596823742548159
P125:1,N150:579,0.004596400018565477
P125:1,N148:607,0.004590918337828445
P149:2,N144:47,0.004586354544091152
P139:7,N143:94,0.004548201678998292
P153:30550,N153:73,0.004527029984802034
P125:1,N148:696,0.004524673685068953
P140:1,N146:67,0.004477184640276626
P145:1,N148:46,0.004454203715615211
P146:2,N152:190,0.0044391566157871215
P125:1,N141:2021,0.004434006461861605
P147:2,N152:190,0.004420688725023473
P150:2,N149:56,0.004418192362841658
P149:3,N151:36,0.004416217690989878
P138:5,N151:36,0.004410550690352312
P137:3,N145:69,0.004383064807289449
P125:1,N141:1977,0.004379646439255878
P148:2,N137:45,0.004377384747980093
P140:1,N141:2035,0.004370243497911712
P152:1,N140:176,0.004350265712825565
P125:1,N141:1397,0.004346527952133935
P125:1,N147:717,0.0043314307277633746
P153:30551,N149:56,0.004315563839763237
P142:3,N125:21,0.004298525459838813
P140:1,N149:56,0.0042761731603389455
P125:1,N147:389,0.004259110212837871
P125:1,N141:981,0.004251931491233601
P125:1,N148:276,0.004251507927352526
P125:1,N141:1232,0.004227176269482138
P125:1,N147:527,0.004200934041511409
P153:30550,N125:30,0.004178180152049026
P149:3,N140:176,0.004173844193360611
P125:1,N143:445,0.004168435782571072
P137:3,N141:2035,0.004146943555161248
P150:3,N153:73,0.004142763414732924
P145:1,N145:69,0.004124768395393295
P144:3,N147:49,0.004108186031890211
P141:5,N143:94,0.004095351503088715
P144:5,N139:514,0.00409398034268523
P144:3,N150:90,0.0040914096037061665
P146:2,N139:514,0.004073052109025577
P150:2,N146:67,0.004059827533395061
P144:3,N144:47,0.004057232218181495
P137:3,N149:56,0.004057071933748223
P125:1,N147:582,0.004025129927907524
P125:1,N150:1172,0.0040205433254744205
P149:2,N148:46,0.0040066728718750055
P144:5,N137:45,0.003964846416649598
P147:2,N139:514,0.003942967053704187
P145:2,N140:176,0.003940393305250173
P125:1,N140:769,0.003914593849608454
P142:3,N150:599,0.0039041107268397764
P150:2,N141:2035,0.0039025811836322388
P125:1,N137:124,0.0038982876159320496
P153:30550,N147:49,0.00388493985176655
P152:1,N141:2035,0.0038810286262091556
P143:3,N141:1,0.0038379943824581727
P125:1,N125:685,0.003831856800553295
P137:3,N146:67,0.0038210084115085936
P145:2,N151:36,0.003806617922403139
P152:1,N151:36,0.0038006028225343273
P149:2,N138:85,0.0037966982967048038
P150:2,N140:176,0.0037784718396479673
P153:30551,N141:2035,0.003776141923781063
P138:5,N152:190,0.0037708464936059274
P151:1,N141:2035,0.0037446323402640556
P151:1,N145:69,0.003726477424324562
P153:30551,N151:36,0.003704244978044007
P153:30550,N144:47,0.003668508251040667
P150:3,N147:49,0.0036464985294261615
P147:2,N137:45,0.0036459103854606448
P153:30550,N150:90,0.0036186904769337407
P138:5,N139:514,0.003614546169967792
P152:1,N152:190,0.0036066445349332253
P148:2,N141:2038,0.0035860584023074907
P140:1,N151:36,0.0035699062019211064
P145:1,N146:67,0.0035503111687896043
P150:3,N150:90,0.003550138507245621
P169:1,N150:631,0.003530143770565506
P125:1,N139:601,0.0035196250251202234
P144:3,N148:46,0.0035121299409695815
P125:1,N144:585,0.003495163121972024
P137:3,N140:176,0.0034828332541243555
P150:3,N144:47,0.003473596199046644
P140:1,N140:176,0.0034549393443756952
P149:3,N152:190,0.0034547149303526133
P152:1,N139:514,0.003451194123018811
P125:1,N147:274,0.003414509707104109
P153:30551,N140:176,0.003400934777772443
P125:1,N142:712,0.0033740173079710306
P125:1,N142:512,0.003367294563723401
P125:1,N145:581,0.0033519453964460178
P144:3,N138:85,0.00334868194655962
P151:1,N149:56,0.0033409059021140804
P151:1,N146:67,0.003336188075573328
P150:2,N151:36,0.0033102811237745006
P125:1,N145:187,0.003289845652540361
P143:3,N150:599,0.003282478434348203
P144:4,N141:75,0.0032802571601029647
P146:2,N137:45,0.003276290614130012
P144:5,N141:2038,0.0032735068664560816
P145:1,N149:56,0.003272182007774653
P125:1,N141:1916,0.0032586989709390383
P145:2,N152:190,0.0032456227477353434
P125:1,N145:346,0.003238919646326246
P125:1,N142:687,0.0032385911990819556
P149:3,N139:514,0.0032334188960810336
P125:1,N147:169,0.003216731552018234
P125:1,N139:867,0.0032038421741223204
P153:30550,N138:85,0.0031788511871334935
P149:2,N145:69,0.003176768988379944
P125:1,N141:1467,0.0031639135518518632
P138:4,N141:1,0.0031134343357707354
P137:3,N151:36,0.0031127367196523547
P150:2,N152:190,0.0030976079585112513
P153:30550,N148:46,0.0030975871926282325
P145:1,N141:2035,0.0030788842882952874
P125:1,N141:1268,0.003029662732055085
P150:3,N148:46,0.0030292767649856304
P125:1,N139:876,0.002997657499209274
P145:1,N151:36,0.0029924484745223953
P138:5,N137:45,0.0029887676036721837
P150:3,N138:85,0.0029598309011537862
P150:3,N141:1,0.0029567657630812515
P138:4,N141:75,0.0029392547655471084
P145:2,N139:514,0.0029301247937253963
P149:2,N149:56,0.0029184191809718254
P169:1,N139:665,0.002914288273335702
P125:1,N150:1186,0.0028990197129031016
P139:7,N141:1776,0.0028622351917850972
P149:3,N137:45,0.0028573507909156353
P151:1,N140:176,0.0028566654456422
P137:3,N152:190,0.002842678474821638
P140:1,N152:190,0.002835997963433817
P125:1,N151:535,0.0028330500743043263
P150:2,N139:514,0.0028154751744457894
P125:1,N141:2020,0.002814611491820247
P150:4,N141:1776,0.0028117970186284495
P153:30551,N152:190,0.0028068379180284414
P125:1,N146:316,0.0027845238595615774
P144:3,N145:69,0.002765334926013077
P151:1,N151:36,0.002762452094757173
P125:1,N125:1037,0.0027516765406679095
P125:1,N138:229,0.0027421361964181396
P125:1,N125:585,0.002741905076424401
P169:1,N148:311,0.0027324258674331983
P145:1,N140:176,0.0027258175653882186
P149:2,N141:2035,0.0027199305753186184
P125:1,N150:1205,0.0027142826139356017
P125:1,N139:736,0.0027123772752128956
P169:1,N148:1398,0.002710119464151313
P147:2,N141:2038,0.002704313823221121
P137:3,N141:1,0.0026941352800349916
P153:30551,N139:514,0.002684007971478789
P125:1,N139:868,0.00267418796506635
P149:2,N146:67,0.0026565593397718016
