update,stu_fraction,source_switches,recent_stu,bn_shift,gradient_norm,clipped,bce,normal_bce,anomaly_bce,lr,ranking_weight
63,0.25,4,0.17273059452103307,0.004885916029802573,12.013251304626465,True,1.8918080512840072,0.013292793763499117,3.770323308804515,0.00016493506493506495,0.0
64,0.125,2,0.1690892296596636,0.0038847346986118883,12.16425609588623,True,0.8482516525409931,0.020206355029334582,1.6762969500526517,0.0001672727272727273,0.0
65,0.0,0,0.1560261895533587,0.003962048747458334,1.0110936164855957,True,0.06153784784490063,0.046533205500366825,0.07654249018943443,0.00016961038961038963,0.0
66,0.375,2,0.1730822887021667,0.00505404083797016,0.3725815713405609,False,0.062240131897571424,0.06957633082244231,0.05490393297270053,0.00017194805194805195,0.0
67,0.0,0,0.15971076359936578,0.004316928759455997,1.0798074007034302,True,0.1044608161906538,0.19876194225351493,0.01015969012779266,0.0001742857142857143,0.0
68,0.0,0,0.1473722597543466,0.005239575737088751,0.8263539671897888,False,0.06608844651193609,0.1279038947315062,0.004272998292365959,0.00017662337662337666,0.0
69,0.25,2,0.15510283139317663,0.00467324121455975,0.6008917689323425,False,0.04101373088028582,0.06060888604086316,0.021418575719708486,0.00017896103896103898,0.0
70,0.0,0,0.14312031475880196,0.006758652234816933,0.180695578455925,False,0.016669977052108858,0.029474501984791988,0.0038654521194257294,0.0001812987012987013,0.0
71,0.125,2,0.14186451110853843,0.005527199895819295,0.14189094305038452,False,0.01819584520710532,0.03131274269537117,0.005078947718839474,0.00018363636363636366,0.0
72,0.25,4,0.1497352789310845,0.006552760788320913,8.6394681930542,True,0.8966692027082139,0.017019145002836848,1.7763192604135911,0.00018597402597402598,0.0
73,0.125,2,0.14806743420234295,0.005995019586998348,1.4186421632766724,True,0.05663998096209308,0.016295928986828315,0.09698403293735784,0.0001883116883116883,0.0
74,0.0,0,0.1366284393277671,0.006050104202931601,0.4153248369693756,False,0.0243173057319741,0.01953644742621332,0.02909816403773488,0.00019064935064935066,0.0
75,0.25,3,0.14548796899167407,0.0057215152791312415,0.14651495218276978,False,0.02324864009545191,0.04071803393908507,0.005779246251818759,0.000192987012987013,0.0
76,0.375,4,0.16307880546823092,0.006345708265490736,1.0725857019424438,True,0.23870949486227033,0.017926949195077202,0.45949204052946346,0.00019532467532467533,0.0
77,0.0,1,0.15048010251945299,0.006042528473910661,4.448014259338379,True,0.0999511804047992,0.027933012884291994,0.17196934792530638,0.00019766233766233769,0.0
78,0.25,4,0.15816561671579474,0.005223689571418714,0.9139537811279297,False,0.02179239162972358,0.026491344331775395,0.017093438927671768,0.0002,0.0
79,0.375,4,0.17496813714448947,0.006140695615349661,0.7608492970466614,False,0.03703915557277184,0.05853134696070704,0.015546964184836646,0.00019999977360794213,0.0
80,0.0,0,0.16145092024401433,0.007500654495001715,0.8609273433685303,False,0.07887582256114048,0.1545773308873305,0.0031743142349504685,0.00019999909443280386,0.0
81,0.5,5,0.18780262354473942,0.009681841190301833,0.5629199743270874,False,0.043279594504764436,0.0821342415121771,0.004424947497351774,0.00019999796247769145,0.0
82,0.25,3,0.1921244284536222,0.008359121822543988,0.7653786540031433,False,0.049238867503799286,0.07085830861092411,0.027619426396674467,0.00019999637774778203,0.0
83,0.375,4,0.20571831110364633,0.00968043436346591,3.108469247817993,True,0.04851766818674622,0.015383023574356674,0.08165231279913578,0.00019999434025032346,0.0
84,0.25,4,0.20904613359663188,0.007766080386049387,1.363385558128357,True,0.0613367803966809,0.011581394203737992,0.1110921665896238,0.00019999184999463441,0.0
85,0.125,2,0.20221686414603215,0.008548578235994149,4.842450141906738,True,0.30511767646612875,0.013863585184635232,0.5963717677476222,0.00019998890699210423,0.0
86,0.0,0,0.1865945385146027,0.007453042837718243,4.580113887786865,True,0.11163060245205583,0.02861918162090494,0.19464202328320673,0.00019998551125619297,0.0
87,0.25,3,0.1916890209225758,0.0041031748133127845,8.292581558227539,True,0.3283862951335663,0.02788300483333311,0.6288895854337996,0.0001999816628024313,0.0
88,0.125,3,0.1866810270363894,0.004981807398241283,0.7922605276107788,False,0.038652850007370926,0.046614723939613495,0.030690976075128353,0.0001999773616484204,0.0
89,0.0,0,0.17225892724818345,0.00585220815971891,3.4829392433166504,True,0.16237169580813543,0.08915469300987272,0.23558869860639814,0.000199972607813832,0.0
90,0.125,2,0.16865400118610635,0.004958562514785726,0.7623701691627502,False,0.08421900474146381,0.16539281600806613,0.003045193474861495,0.00019996740132040806,0.0
91,0.25,4,0.1748452382675897,0.006330322178989125,0.7801401615142822,False,0.07388939854132566,0.14392074583520098,0.003858051247450342,0.00019996174219196088,0.0
92,0.25,4,0.18055816943647382,0.005770496890771642,1.695311427116394,True,0.23084555280972377,0.11673908706249563,0.3449520185569519,0.00019995563045437288,0.0
93,0.125,2,0.17592974636219358,0.006563965447354988,0.7228506803512573,False,0.04890558814437894,0.08482389803468557,0.012987278254072305,0.0001999490661355967,0.0
94,0.125,1,0.1723382400477638,0.005994677779434608,0.36623746156692505,False,0.04467894205380019,0.08462249010787277,0.004735393999727607,0.00019994204926565462,0.0
95,0.0,1,0.15902419665111933,0.007694679373060195,0.27903494238853455,False,0.034602445110262475,0.06333567624244608,0.005869213978078869,0.0001999345798766389,0.0
96,0.125,2,0.1560593872245525,0.006699639492671525,0.1678355485200882,False,0.02066019075412127,0.026675162461804278,0.014645219046438262,0.00019992665800271136,0.0
97,0.125,2,0.15390297157712818,0.007964958581904743,13.227154731750488,True,0.5294350388208784,0.028045209626945334,1.0308248680148115,0.00019991828368010324,0.0
98,0.125,2,0.15181415047948602,0.0062665706702451345,1.1080812215805054,True,0.049884139640737235,0.020696660042937125,0.07907161923853735,0.00019990945694711525,0.0
99,0.125,2,0.14940635537309752,0.007040885260891097,1.4372962713241577,True,0.04513305457037484,0.011850240333808697,0.07841586880694099,0.00019990017784411707,0.0
100,0.125,2,0.14746988183433812,0.006176172111718269,1.1421409845352173,True,0.043473204306440374,0.019096925525065422,0.06784948308781533,0.0001998904464135474,0.0
101,0.25,4,0.1552899415495478,0.006124248171200132,2.6446053981781006,True,0.05249998925055474,0.021126840149185127,0.08387313835192435,0.00019988026269991368,0.0
102,0.125,2,0.15289892976286706,0.005836367966047607,0.9056005477905273,False,0.047743929144292235,0.02777310356080983,0.06771475472777465,0.00019986962674979196,0.0
103,0.125,2,0.15050147771640282,0.0054161667133291475,0.4488309919834137,False,0.038925432258328105,0.05455484108428296,0.02329602343237324,0.0001998585386118265,0.0
