kind,reference,normal_world,normal_frame,anomaly_world,anomaly_frame,normal_points,anomaly_points,normal_range_m,anomaly_range_m,sensor_xy_separation_m,normal_majority_semantic,normal_spread_m,normal_axis1_span_m,normal_axis2_span_m,normal_axis3_span_m,normal_linearity,normal_planarity,normal_scattering,normal_neighbor_m,normal_intensity,normal_other_nearest_m,normal_nonground_nearest_m,normal_nonground_nearest_semantic,normal_neighbors_0p5_m,normal_neighbors_2_m,anomaly_spread_m,anomaly_axis1_span_m,anomaly_axis2_span_m,anomaly_axis3_span_m,anomaly_linearity,anomaly_planarity,anomaly_scattering,anomaly_neighbor_m,anomaly_intensity,anomaly_other_nearest_m,anomaly_nonground_nearest_m,anomaly_nonground_nearest_semantic,anomaly_neighbors_0p5_m,anomaly_neighbors_2_m,spread_ratio,shape_difference,range_difference_m
legacy_neighbor,train/contacts_low_rough_7,train/contacts_low_rough_7,227,train/contacts_low_rough_7,227,135,317,7.1149139404296875,4.866525173187256,2.3436014652252197,50,0.7068217109235946,3.859019052220236,1.4457962357673932,1.5963960294436037,0.3151668116199005,0.5079077491170354,0.17692543926306412,0.04366020645713661,0.3934285640716553,0.02682976565661344,0.02682976565661344,50,206.0,3406.0,0.3187869914428,0.8779776597920772,0.6930644119305986,0.11782639598340663,0.5196053429055216,0.47075334666880964,0.009641310425668672,0.028880932034016975,0.0820000022649765,0.04802944103713669,0.0548049739081696,50,21.0,3096.0,2.2172225652138,0.20443853128562112,2.2483887672424316
legacy_neighbor,train/contacts_low_smooth_1,train/contacts_low_smooth_1,223,train/contacts_low_smooth_1,223,166,101,4.335123062133789,5.740664005279541,1.2830665111541748,50,0.9637763063897526,4.101881912400452,2.4920073702127556,2.562028525760845,0.531993859910505,0.21807568647250936,0.2499304536169857,0.061628786493220206,0.17228572070598602,0.017507570888543836,0.017507570888543836,50,475.5,7002.5,0.23553122461447473,0.7163775578344133,0.5018316302337746,0.08545644216706125,0.6136040598023285,0.3756589731375857,0.010736967060085813,0.03466381248698559,0.2288571447134018,0.02690767446222334,0.03432743112942951,50,114.0,2887.0,4.091925849607811,0.2391934865568999,1.405540943145752
legacy_neighbor,train/contacts_low_smooth_2,train/contacts_low_smooth_2,240,train/contacts_low_smooth_2,240,24,109,7.265130043029785,6.324195861816406,1.1625981330871582,50,0.1703806773589573,0.5470538829095628,0.13738771597988347,0.02918207756812423,0.9279189442468712,0.07044291455381158,0.0016381411993172251,0.04155955809431025,0.3158571422100067,0.037598099635738236,0.037598099635738236,50,175.0,2936.0,0.27322424952362223,0.9064142915845195,0.2798493085080378,0.10293542339947562,0.894069109564838,0.09679404642369435,0.009136844011467698,0.03707647168301328,0.1014285683631897,0.038361607203905274,0.4724678576225459,50,109.0,3022.0,1.6036105370563503,0.033849834682033175,0.9409341812133789
legacy_neighbor,train/contacts_low_smooth_3,train/contacts_low_smooth_3,134,train/contacts_low_smooth_3,134,8,30,7.617488861083984,8.6958646774292,2.051252841949463,10,0.35180174134700987,0.8375147456748053,0.23525069195153717,0.0792978045164326,0.9566804338593481,0.03811183776700471,0.005207728373647204,0.136321013641356,0.014142857864499092,0.046859468214089754,0.046859468214089754,10,9.5,2276.0,0.1735250398454188,0.5156732633967815,0.3578107192271289,0.08367716842142023,0.5975589686131789,0.38279456880949764,0.019646462577323373,0.05109774538546757,0.35685715079307556,0.0874289088673408,1.1657967049855469,10,61.0,797.0,2.027383146895717,0.35912146524616917,1.0783758163452148
legacy_neighbor,train/contacts_low_smooth_5,train/contacts_low_smooth_5,124,train/contacts_low_smooth_5,124,8,34,12.341824531555176,11.073833465576172,1.8639395236968994,40,0.8672394478710531,2.122517089592692,1.6189090711595255,0.0034025451599808756,0.5729221888572384,0.4270758312532854,1.979889476163405e-06,0.34717642105112423,0.16500000655651093,0.06628932874539327,3.2804358002307175,71,25.5,449.5,0.31463336289726296,1.0907746295443932,0.528336179187691,0.08345000628709795,0.764987738686803,0.22916683976071778,0.005845421552479104,0.06718049306293852,0.3009999990463257,0.07226410832212521,3.1445261223340375,10,23.0,592.0,2.7563492945731642,0.19790899149256763,1.267991065979004
legacy_neighbor,train/contacts_low_smooth_7,train/contacts_low_smooth_7,89,train/contacts_low_smooth_7,89,8,36,8.33169937133789,8.918848037719727,1.232442855834961,10,0.13952917733148185,0.31730210030785494,0.16210262187096933,0.1299498199755364,0.8594151523982114,0.050216173912316434,0.09036867368947207,0.05260372621389049,0.05657142773270607,0.05011986108838962,0.05011986108838962,10,105.5,1647.0,0.2091976230896238,0.6797305524118886,0.41174203623609495,0.06483777148822992,0.5855792420431514,0.40590103728010124,0.008519720676747397,0.05397535995073023,0.08871428668498993,0.05094611638538482,0.6414182859518165,10,34.0,1219.0,1.4993109476495332,0.3556848633677848,0.5871486663818359
legacy_neighbor,train/contacts_low_smooth_8,train/contacts_low_smooth_8,240,train/contacts_low_smooth_8,240,19,98,6.647491455078125,6.1369709968566895,0.8775476217269897,50,0.1548829111794259,0.5087527341631866,0.14249567628914017,0.013265433385989935,0.9181420159771503,0.08132637212307825,0.0005316118997715377,0.039727387748084646,0.33399999141693115,0.03308430639274093,0.03308430639274093,50,238.0,4100.0,0.3079192655891879,0.9158184057204127,0.3719575866902982,0.1406731310379276,0.8910730887466015,0.0910447787956826,0.017882132457715857,0.03806571275743436,0.05828571319580078,0.049378402415452875,0.6047778122764259,50,133.0,4150.0,1.9880777242911922,0.027068927230548767,0.5105204582214355
legacy_neighbor,train/contacts_low_sparse_1,train/contacts_low_sparse_1,38,train/contacts_low_sparse_1,38,5,5,33.38299560546875,32.92599868774414,1.3769214153289795,51,0.5294684270742432,1.3840281097406093,0.5221704034674957,0.20187372234752296,0.8718988282449038,0.10498022091185301,0.023120950843243202,0.4032116435790544,0.018571428954601288,0.41402104749120827,0.41402104749120827,51,0.0,6.0,0.4920765887643166,1.4248340069697365,0.13374286087795506,0.0004281993357572291,0.9908985761112726,0.009101279640391901,1.442483354879537e-07,0.403588296522646,0.04942857101559639,0.810105435402335,0.8245086370089948,51,0.0,6.0,1.075987842469449,0.1189997478663688,0.4569969177246094
legacy_neighbor,train/contacts_low_sparse_2,train/contacts_low_sparse_2,149,train/contacts_low_sparse_2,149,7,6,37.88222122192383,38.72747039794922,1.8644195795059204,40,0.548010707943221,1.5879110664656577,0.40921166678707105,0.0001132595336297278,0.9219297671707932,0.07807022766608177,5.163125038951429e-09,0.23403168496776727,0.018857141956686974,0.4826762051907243,3.1066790373145543,50,0.0,3.0,0.45829348860164576,1.193120556061193,0.4138468069746144,0.00010668266578851421,0.8835131038678554,0.11648688969001356,6.442130980846033e-09,0.2602999796536768,0.09000000357627869,0.4826762051907243,1.4335519962015346,50,0.0,6.0,1.195763678893458,0.038416663302937804,0.8452491760253906
legacy_neighbor,train/contacts_low_sparse_3,train/contacts_low_sparse_3,239,train/contacts_low_sparse_3,239,7,5,46.300296783447266,47.29368591308594,1.54794180393219,40,1.065828344874191,3.188653658295215,1.7701846280281177,0.5154396869960624,0.5343618623587066,0.43059503818810013,0.03504309945319321,0.5689404415066152,0.018571428954601288,0.29477935658267135,0.29477935658267135,51,0.0,5.0,0.49195762201082865,1.3049408556957192,0.35028635755967263,5.243063673901096e-05,0.9266955906218475,0.0733044077486093,1.6295432620422692e-09,0.3303731052242563,0.08228571712970734,0.9264347191868,1.3032572728395249,51,0.0,9.0,2.1665043840925198,0.39233372826314084,0.9933891296386719
