frames,layer,pairs,relative_rms_difference,median_cosine_similarity,rms_feature_a,rms_feature_b,median_vector_difference
146-147,enc1.pool,214,0.513756091175452,0.8954550436720182,0.8433617928916405,0.8355132735509747,3.251426705612075
146-147,enc1.block0,214,0.5657535550139473,0.898318144786002,1.0986019817530557,1.1052008098732282,4.4195695089596985
146-147,enc1.block1,214,0.522937945689534,0.9222575123401721,1.565703760280973,1.5613307505778262,5.195710884244748
146-147,enc1,214,0.522937945689534,0.9222575123401721,1.565703760280973,1.5613307505778262,5.195710884244748
146-147,enc2.pool,214,0.5261980737056605,0.8832868506921319,1.0340852322389775,1.116709156023306,6.463277383016193
146-147,enc2.block0,214,0.5059552766620282,0.9061851186789929,1.2533308216973944,1.3295688680385422,7.560007821613525
146-147,enc2.block1,214,0.4223632222605984,0.9214225239129461,1.6995061548615304,1.767051140757322,8.599079146327064
146-147,enc2,214,0.4223632222605984,0.9214225239129461,1.6995061548615304,1.767051140757322,8.599079146327064
146-147,enc3.pool,214,0.3388127349987566,0.9694825485378664,0.912533537041767,1.0421872241351755,4.935338418685848
146-147,enc3.block0.attn_input,214,0.41011804010777697,0.946676153017438,0.7978342555150897,0.798481173495482,4.147851210610317
146-147,enc3.block0.attn_output,214,0.5778790557960972,0.8673235177332432,0.46445216773397846,0.5123177713305643,4.073983395352077
146-147,enc3.block0,214,0.39048179610999634,0.9483644951084901,1.4741324943516636,1.5568957961641152,8.171153317412234
146-147,enc3.block1.attn_input,214,0.36275084109269873,0.9550128347636347,0.8255355925477389,0.8267383156888021,3.9289721393237436
146-147,enc3.block1.attn_output,214,0.6556729067275342,0.8046862455788119,0.4257057268681085,0.4045917453657417,3.9221407024003536
146-147,enc3.block1,214,0.3584743051807041,0.9537165203868121,1.404585308574255,1.4081394031158065,6.789691992155255
146-147,enc3.block2.attn_input,214,0.30631862200895177,0.9662150713838877,0.8816842762478486,0.8817076242970379,3.6452685424076927
146-147,enc3.block2.attn_output,214,0.5742799226094861,0.8394456386740485,0.6199608403877295,0.6254204029819133,5.475380370170566
146-147,enc3.block2,214,0.3347166274051691,0.9533696540383825,1.6300529001297885,1.6541037553571272,7.951625315026332
146-147,enc3.block3.attn_input,214,0.2804141687469799,0.9664843440185051,0.8845199415627192,0.8887768702617197,3.6443665314000855
146-147,enc3.block3.attn_output,214,0.6328615410096653,0.8095800573093914,0.7939495730491157,0.8286905871580652,7.997922086690128
146-147,enc3.block3,214,0.39448728104264397,0.9224930768542793,1.8468298467544648,1.8624219276314522,11.492186336240543
146-147,enc3.block4.attn_input,214,0.340880363346213,0.9417874477517371,0.9191116633273527,0.9233006553535559,4.990130251435102
146-147,enc3.block4.attn_output,214,0.6980377316739279,0.7571958795191681,1.1194227802022432,1.2869185637635654,13.53249630893529
146-147,enc3.block4,214,0.5072557694709784,0.8694979776560319,2.1607495715498404,2.3184687562080177,18.324503280345866
146-147,enc3.block5.attn_input,214,0.4381934640608478,0.9009992865974875,0.8924649191237021,0.9124434667496528,6.395854896684233
146-147,enc3.block5.attn_output,214,0.6341285495582503,0.8079267287115057,1.3374398292596004,1.4739036818764,13.929945976971608
146-147,enc3.block5,214,0.5667178633904961,0.8416053009100517,2.0691298849814883,2.213835325004411,19.224361855628523
146-147,enc3,214,0.5667178633904961,0.8416053009100517,2.0691298849814883,2.213835325004411,19.224361855628523
146-147,enc4.pool,214,0.7406130273992296,0.8253809078191197,0.3675289252352204,0.5876227641974752,8.031093665104963
146-147,enc4.block0.attn_input,214,0.5657580757920082,0.852019369626778,0.7227357906671857,0.7478543802669113,9.02715695392906
