model,kind,key,normal,anomaly,pooled_AP_credit,observations,fp50,fn50,fp75,fn75,fp90,fn90,fp95,fn95,fp99,fn99
replay,object,138:4,0,175,0.1717667907043184,68,0,60,0,15,0,6,0,4,0,1
replay,object,138:5,0,2079,2.0840021335771106,83,0,525,0,175,0,38,0,9,0,1
replay,object,139:7,0,2844,2.5935743194430088,99,0,1431,0,513,0,65,0,12,0,0
replay,object,140:1,0,1465,1.4150544374670109,75,0,618,0,107,0,15,0,3,0,0
replay,object,141:4,0,15929,16.557258255765937,285,0,2286,0,586,0,113,0,17,0,1
replay,object,141:5,0,2460,2.2186425352342893,267,0,1201,0,449,0,126,0,63,0,1
replay,object,142:2,0,615,0.25648068611844543,59,0,550,0,456,0,390,0,304,0,61
replay,object,142:3,0,981,0.37968678904415937,55,0,912,0,713,0,615,0,508,0,250
replay,object,143:3,0,3085,1.9839854087814082,91,0,2790,0,1932,0,721,0,424,0,62
replay,object,144:2,0,531,0.5164182998486094,73,0,194,0,5,0,1,0,0,0,0
replay,object,144:3,0,552,0.4881597808169824,60,0,264,0,119,0,40,0,18,0,0
replay,object,144:4,0,144,0.1295622999082685,56,0,92,0,17,0,1,0,1,0,0
replay,object,144:5,0,3281,3.181828348622488,79,0,1166,0,35,0,2,0,1,0,0
replay,object,145:1,0,2267,2.397891862012594,92,0,223,0,33,0,10,0,3,0,0
replay,object,145:2,0,1445,1.4799481737095614,92,0,291,0,47,0,9,0,3,0,0
replay,object,146:2,0,1455,1.371697936520296,57,0,503,0,218,0,94,0,50,0,25
replay,object,147:2,0,2811,2.912746798748935,111,0,496,0,95,0,8,0,7,0,1
replay,object,148:2,0,3050,3.1068897837490637,115,0,712,0,104,0,21,0,6,0,0
replay,object,149:2,0,455,0.4332448347412815,94,0,196,0,45,0,9,0,0,0,0
replay,object,149:3,0,2344,2.37741370877065,102,0,610,0,87,0,4,0,0,0,0
replay,object,150:2,0,686,0.641350113309712,125,0,294,0,73,0,26,0,7,0,0
replay,object,150:3,0,545,0.5346792954819533,117,0,145,0,41,0,19,0,10,0,1
replay,object,150:4,0,4113,4.038347056984077,156,0,1192,0,343,0,89,0,31,0,0
replay,object,151:1,0,1054,0.9998741754323494,51,0,405,0,155,0,42,0,21,0,6
replay,object,152:1,0,1029,0.9274484370111321,61,0,458,0,190,0,74,0,41,0,1
replay,object,153:30550,0,1020,0.9978006046046787,75,0,272,0,70,0,10,0,7,0,0
replay,object,153:30551,0,2129,2.1798163492912277,75,0,352,0,77,0,19,0,10,0,0
replay,object,169:1,0,2334,0.9282602428135378,63,0,2303,0,1980,0,1413,0,960,0,305
replay,object_returns,0,0,1535,1.2281384523107604,705,0,1023,0,499,0,214,0,86,0,6
replay,object_returns,1,0,4494,3.6167710150200123,676,0,2883,0,1425,0,620,0,343,0,120
replay,object_returns,2,0,8579,7.666763880390279,612,0,4060,0,1706,0,635,0,426,0,144
replay,object_returns,3,0,17036,15.275108944376225,551,0,7926,0,3209,0,1354,0,838,0,269
replay,object_returns,4,0,18031,17.41126566197337,256,0,5101,0,2033,0,779,0,375,0,45
replay,object_returns,5,0,14543,11.431601647270298,107,0,7711,0,5754,0,3082,0,1531,0,243
replay,object_returns,6,0,23280,19.494922024746852,85,0,14910,0,7218,0,2050,0,773,0,37
replay,sequence,125,21450882,25871,18.126096525165366,210,1432,22777,6048,13042,19244,4706,50715,1845,432559,148
replay,sequence,137,4652268,749,0.6946456424093509,46,72,296,482,122,2006,48,5500,7,43833,0
replay,sequence,138,8321471,2254,2.255768924281429,83,433,585,1649,190,4994,44,10800,13,70678,2
replay,sequence,139,10201337,2844,2.5935743194430083,99,87,1431,703,513,3499,65,10485,12,87680,0
replay,sequence,140,8008759,1465,1.4150544374670109,75,156,618,965,107,4174,15,9749,3,65099,0
replay,sequence,141,31991712,18389,18.775900791000208,307,2934,3487,6880,1035,17429,239,37200,80,255018,2
replay,sequence,142,8365690,1596,0.6361674751626044,87,83,1462,558,1169,2883,1005,7657,812,69003,311
replay,sequence,143,7571268,3085,1.9839854087814082,91,47,2790,368,1932,2592,721,8597,424,64350,62
replay,sequence,144,7455833,4508,4.315968729196348,79,152,1716,1699,176,5204,44,10722,20,76567,0
replay,sequence,145,8379629,3712,3.877840035722156,92,273,514,1741,80,4894,19,11153,6,77619,0
replay,sequence,146,5166306,1455,1.371697936520296,57,190,503,863,218,2439,94,4979,50,40706,25
replay,sequence,147,10820924,2811,2.912746798748935,111,598,496,2411,95,6853,8,15364,7,101499,1
replay,sequence,148,11781979,3050,3.106889783749063,115,361,712,2390,104,7362,21,17007,6,107959,0
replay,sequence,149,10115079,2800,2.8117733496245036,102,323,806,1457,132,5352,13,12473,0,89776,0
replay,sequence,150,15720518,5344,5.214376465775739,156,462,1631,2394,457,7992,134,19177,48,134157,1
replay,sequence,151,4798697,1054,0.9998741754323495,51,110,405,584,155,2021,42,4205,21,35407,6
replay,sequence,152,5935012,1029,0.927448437011132,61,90,458,884,190,3303,74,7675,41,51088,1
replay,sequence,153,6498230,3149,3.177616953895906,75,414,624,1865,147,5977,29,11309,17,63087,0
replay,sequence,169,6556876,2334,0.9282602428135378,63,37,2303,175,1980,1166,1413,3862,960,39113,305
replay,unassigned_anomaly,149:0,0,1,0.0011148061125718116,1,0,0,0,0,0,0,0,0,0,0
