世界,因素,统计量,范围,分组,统计单位,权重,有效数量,适用候选数量,总帧或阶段组数,有有效观测的帧或组数,有覆盖世界数,数值单位,缺失或不可靠比例,无有效值帧或组比例,最小值,最大值,均值,P5,P25,P50,P75,P95,分位数区间最大宽度,缺失说明,来源,P5下界,P5上界,P25下界,P25上界,P50下界,P50上界,P75下界,P75上界,P95下界,P95上界
全部,B01,范围内异常点数,全部原始帧,全部,帧,有适用观测的帧等权,3592,3592,3592,3592,128,数量,0.0,0.0,0.0,7177.0,625.7135300668151,12.0,101.0,327.0,815.0,2224.0,0.0,无缺失,summary.json:全部:B01|anomaly_in_range|all_frames|all:frame_equal,12.0,12.0,101.0,101.0,327.0,327.0,815.0,815.0,2224.0,2224.0
全部,B01,范围内异常点数,全部原始帧,全部,帧,统计单位等权,3592,3592,3592,3592,128,数量,0.0,0.0,0.0,7177.0,625.7135300668151,12.0,101.0,327.0,815.0,2224.0,0.0,无缺失,summary.json:全部:B01|anomaly_in_range|all_frames|all:observation_equal,12.0,12.0,101.0,101.0,327.0,327.0,815.0,815.0,2224.0,2224.0
全部,B01,范围内异常点数,全部原始帧,全部,帧,世界等权（同一背景）,3592,3592,3592,3592,128,数量,0.0,0.0,0.0,7177.0,624.1972463823894,12.0,101.0,326.0,810.0,2216.0,0.0,无缺失,summary.json:全部:B01|anomaly_in_range|all_frames|all:sequence_equal,12.0,12.0,101.0,101.0,326.0,326.0,810.0,810.0,2216.0,2216.0
全部,B01,全距离异常点数,全部原始帧,全部,帧,有适用观测的帧等权,3592,3592,3592,3592,128,数量,0.0,0.0,0.0,130983.0,869.8555122494432,14.0,108.0,342.0,846.0,2486.0,0.0,无缺失,summary.json:全部:B01|anomaly|all_frames|all:frame_equal,14.0,14.0,108.0,108.0,342.0,342.0,846.0,846.0,2486.0,2486.0
全部,B01,全距离异常点数,全部原始帧,全部,帧,统计单位等权,3592,3592,3592,3592,128,数量,0.0,0.0,0.0,130983.0,869.8555122494432,14.0,108.0,342.0,846.0,2486.0,0.0,无缺失,summary.json:全部:B01|anomaly|all_frames|all:observation_equal,14.0,14.0,108.0,108.0,342.0,342.0,846.0,846.0,2486.0,2486.0
全部,B01,全距离异常点数,全部原始帧,全部,帧,世界等权（同一背景）,3592,3592,3592,3592,128,数量,0.0,0.0,0.0,130983.0,868.8841883466749,14.0,107.0,342.0,845.0,2483.0,0.0,无缺失,summary.json:全部:B01|anomaly|all_frames|all:sequence_equal,14.0,14.0,107.0,107.0,342.0,342.0,845.0,845.0,2483.0,2483.0
全部,B02,每帧全距离异常距离中位数,全部原始帧,全部,帧,有适用观测的帧等权,3537,3592,3592,3537,128,米,0.015311804008908686,0.015311804008908686,0.1446494311094284,18.67206573486328,8.040703749278356,4.144118785858154,5.909209728240967,7.70588493347168,9.750584602355957,13.613021850585938,0.0,当前帧在对应距离范围内没有异常回波,summary.json:全部:B02|anomaly_distance_median|all_frames|all:frame_equal,4.144118785858154,4.144118785858154,5.909209728240967,5.909209728240967,7.70588493347168,7.70588493347168,9.750584602355957,9.750584602355957,13.613021850585938,13.613021850585938
全部,B02,每帧全距离异常距离中位数,全部原始帧,全部,帧,统计单位等权,3537,3592,3592,3537,128,米,0.015311804008908686,0.015311804008908686,0.1446494311094284,18.67206573486328,8.040703749278356,4.144118785858154,5.909209728240967,7.70588493347168,9.750584602355957,13.613021850585938,0.0,当前帧在对应距离范围内没有异常回波,summary.json:全部:B02|anomaly_distance_median|all_frames|all:observation_equal,4.144118785858154,4.144118785858154,5.909209728240967,5.909209728240967,7.70588493347168,7.70588493347168,9.750584602355957,9.750584602355957,13.613021850585938,13.613021850585938
全部,B02,每帧全距离异常距离中位数,全部原始帧,全部,帧,世界等权（同一背景）,3537,3592,3592,3537,128,米,0.015311804008908686,0.015311804008908686,0.1446494311094284,18.67206573486328,8.054109812256614,4.149242877960205,5.919101238250732,7.743505954742432,9.790990829467773,13.563703536987305,0.0,当前帧在对应距离范围内没有异常回波,summary.json:全部:B02|anomaly_distance_median|all_frames|all:sequence_equal,4.149242877960205,4.149242877960205,5.919101238250732,5.919101238250732,7.743505954742432,7.743505954742432,9.790990829467773,9.790990829467773,13.563703536987305,13.563703536987305
全部,B02,每帧范围内异常距离中位数,全部原始帧,全部,帧,有适用观测的帧等权,3507,3592,3592,3507,128,米,0.02366369710467706,0.02366369710467706,2.52073073387146,18.67206573486328,8.101923340230984,4.225174903869629,5.960709095001221,7.7528839111328125,9.777997016906738,13.618659973144531,0.0,当前帧在对应距离范围内没有异常回波,summary.json:全部:B02|anomaly_in_range_distance_median|all_frames|all:frame_equal,4.225174903869629,4.225174903869629,5.960709095001221,5.960709095001221,7.7528839111328125,7.7528839111328125,9.777997016906738,9.777997016906738,13.618659973144531,13.618659973144531
