world,path,geometry,eligible_views,selected_frames,view_angle_span_all_deg,view_angle_span_selected_deg,nearest_selected_view_angle_max_deg,return_range_m_all_min,return_range_m_all_max,return_range_m_selected_min,return_range_m_selected_max,return_range_m_missing,return_range_m_span_fraction,return_range_m_outside_selected_interval,points_all_min,points_all_max,points_selected_min,points_selected_max,points_missing,points_span_fraction,points_outside_selected_interval,removed_background_returns_all_min,removed_background_returns_all_max,removed_background_returns_selected_min,removed_background_returns_selected_max,removed_background_returns_missing,removed_background_returns_span_fraction,removed_background_returns_outside_selected_interval,intensity_contrast_all_min,intensity_contrast_all_max,intensity_contrast_selected_min,intensity_contrast_selected_max,intensity_contrast_missing,intensity_contrast_span_fraction,intensity_contrast_outside_selected_interval
cb3dd3deb6a553ab731a69459defeae8eb501836328ee99cd57994669f9b6ae8,train/branched_raised_smooth_7,f9dbad3cf0a9ba4bcfe12467a862b7c503a519202b01d801680676ac2d612f7d,101,27;61;150,92.90496101305811,92.14903986059673,44.93411433200175,8.449522972106934,20.200754165649414,11.642912864685059,20.200754165649414,0,0.7282506113629224,57,5.0,183.0,5.0,77.0,0,0.4044943820224719,46,0.0,167.0,0.0,76.0,0,0.4550898203592814,43,-0.19085714345177016,0.0827619048456351,-0.02733333284656206,-0.02733333284656206,32,0.0,68
cbac48e05e9088008df7b9b10cf90743a39b6e43160822ce6410c8b5ac3ccfe3,train/elongated_raised_rough_6,b411422ce83c26f4f37dcdf814a917172c04151bd86a3aa42134c8f35c30a496,312,238;340;427,163.83907085987218,135.54034231159395,29.217228303892778,4.5166802406311035,36.532012939453125,4.812106132507324,36.45649719238281,0,0.9884136253576967,3,5.0,443.0,6.0,443.0,0,0.997716894977169,28,5.0,443.0,6.0,443.0,0,0.997716894977169,30,0.01141678442045585,0.5161904667814573,0.14085715015729267,0.16803571447620497,67,0.05384306921824597,226
cd55db4e2c7f51318ba8e9ec1a779b354033042babb9af6fb7a9c0c0053cecec,train/solid_low_sparse_8,735e3021649e949a21e7f87892c032013e103e22ef80e60efa63d64b16a646df,192,54;157;261,167.63646509670855,159.8467351322643,56.113809032329826,4.911655426025391,46.202083587646484,11.59333610534668,35.749629974365234,0,0.5850337461860352,94,5.0,384.0,5.0,28.0,0,0.06068601583113457,91,0.0,385.0,0.0,28.0,0,0.07272727272727272,91,-0.03971428610384464,0.24236904736608267,0.05158766350624236,0.1925142951309681,49,0.4995921945872418,91
cdb7220debcfd7ada72b82e704602f50def43b7affecac743e6b6fe74aaf975b,train/sheet_raised_smooth_6,939676808fdf2d0dbef0ed14f256bc84827694eac2f3c426eb8435d39ec52c58,114,57;97;111,102.15873194801104,8.930241429319219,95.32013497650968,4.931958198547363,22.63853645324707,7.8327765464782715,17.562864303588867,0,0.5495182421554554,61,5.0,440.0,5.0,43.0,0,0.08735632183908046,39,5.0,441.0,5.0,43.0,0,0.0871559633027523,39,-0.1540190498034159,0.3735119060923656,-0.014560284939679258,0.3735119060923656,0,0.7356387083921423,25
ce14f38b1336528a9d2ef445e6307146e56e9dd8bccc7471fa5e0d1524493158,train/branched_low_rough_6,080cd02595f2b7c8454d340fb7a10c252545bf3f08731083ed13d6c33d0763c8,184,86;92;224,85.17158742235178,8.746162128448319,80.92009841022542,6.730032920837402,47.592247009277344,10.017898559570312,45.79070281982422,0,0.8754494845244852,74,5.0,208.0,6.0,47.0,0,0.2019704433497537,90,3.0,208.0,6.0,47.0,0,0.2,99,-0.06132594733213892,0.30451427549123766,-0.025875769231630402,-0.014398296824901097,38,0.03137291005934713,139
ce2f6a8478ffc242d7f37a5ef4670ff072f11411b06a0ad0477882460732f91b,train/elongated_raised_smooth_5,78f799562586468e04526cfd96ca6b6e502fd03fabac4959120e5b1f24fba3e1,43,130;143;206,85.8488917412836,37.1198898758947,48.45122710517274,9.357841491699219,26.076684951782227,10.441726684570312,25.9803409576416,0,0.9294072469887305,23,5.0,105.0,5.0,60.0,0,0.55,17,0.0,102.0,0.0,62.0,0,0.6078431372549019,17,-0.005657143642505011,0.20085714757442474,0.023288149011196656,0.023288149011196656,7,0.0,35
ceb218296b888c919260a36fa0c128e8f6172e185b4ed5033ad81e94211cf06d,train/sheet_low_smooth_8,af7c8038e4f4af1d05db99c0457cfa1cd655d3faeb787f98de5f75b0017807ae,53,71;170;196,85.97532129996755,62.8542619782595,23.136838445351962,11.276966094970703,35.83135986328125,12.059099197387695,35.83135986328125,0,0.9681469186412414,25,6.0,53.0,6.0,41.0,0,0.7446808510638298,26,0.0,53.0,0.0,41.0,0,0.7735849056603774,26,0.1715999912470579,0.8897582991765096,0.2750037631314052,0.48591837712696617,1,0.29368819056574946,19
d1e4788c6e7e072020b91dce91886bfbfd2ccc0f0502a42a55580b951a046483,train/elongated_raised_smooth_6,5512cdf8d4edc08c21cb4b05fa58c2f32a9c87e89ef2fe845268cd588f813de7,240,47;120;239,86.37772439265801,30.98474743098245,56.225157227358864,6.590864658355713,49.916419982910156,6.63139533996582,49.916419982910156,0,0.9990645086645401,7,5.0,951.0,5.0,951.0,0,1.0,0,10.0,951.0,14.0,951.0,0,0.9957492029755579,2,-0.1837753209539435,0.06733333071072896,-0.02253968392809233,-0.015285711735486984,69,0.02888778281638904,153
d4ba9a9129422292821c3ff6623a25a260baccc9fdcf6a55150380cbca611605,train/solid_raised_sparse_8,c9274e2a0760df0b48c2f68293490952b7297964d37e1dc5bfd1c7f02552695b,159,136;175;177,107.50722724230589,29.46524339833966,69.14298909225921,10.832052230834961,32.1806640625,12.002010345458984,20.582977294921875,0,0.4019449609709652,81,5.0,262.0,6.0,101.0,0,0.36964980544747084,36,0.0,260.0,0.0,99.0,0,0.38076923076923075,31,0.09720407426357269,0.3112857018907865,0.11707142181694508,0.11707142181694508,121,0.0,37
d76464e42670fe4bc8ceb53b7e6e6cf486d7ee10e4497d58e03a3191a873f0cd,train/contacts_low_smooth_8,3c0a3f9188cd572564cf5edfef023cc43fa40ad30c49a385a01edcc2cf702b2b,170,161;218;314,155.8156809868547,149.90809649562513,31.594762227503253,4.595313549041748,26.85560417175293,12.498340606689453,23.219680786132812,0,0.48163522934893105,63,5.0,164.0,5.0,14.0,0,0.05660377358490566,72,5.0,165.0,5.0,14.0,0,0.05625,72,-0.21162864779778107,-0.0028333310037851334,-0.11865476198080513,-0.051571429396669075,0,0.321287534673599,69
d9d678aff428b22c8392c31f2ceb83e076c8797fa73f88f0baea167145434d09,train/branched_low_smooth_7,660b56084657e0f6a7c4e0c67a1aec9a6974b521a87af67490ddf6929eae3926,69,169;182;237,87.0186032670931,87.0186032670931,36.16159631387478,6.914501667022705,11.683696746826172,7.90835428237915,11.683696746826172,0,0.7916099889549075,39,8.0,92.0,8.0,60.0,0,0.6190476190476191,38,8.0,92.0,8.0,60.0,0,0.6190476190476191,38,-0.1342666113415831,0.053276757792769,-0.085113525390625,-0.035194521416830854,0,0.26617312147161665,50
dd68caeabc3e16c59c3a39185e47552bf3fdaf40c74fd1eeb14205079e847c14,train/sheet_raised_sparse_7,d84d808812a7924ca9902df6eec8ac81f87508e3349291893ae204506178cd96,229,222;329;413,61.439648948121715,61.20973112021085,27.89298805519427,4.009840965270996,49.828330993652344,4.013577461242676,46.99378967285156,0,0.9380538770480139,6,5.0,433.0,6.0,267.0,0,0.6098130841121495,53,3.0,433.0,3.0,267.0,0,0.6139534883720931,49,-0.14011641453813628,0.31934285946190355,-0.03809523954987526,0.23910477260748547,58,0.603317917046412,19
ddc610ca73e047f72433204d9f0bfbd059aa49bc1577eba307f06d41442bad76,train/sheet_low_sparse_5,38f384ee6c50a86db6bb1b08adc1b62e14d0662952fb569509b06c8dfb020606,210,146;246;292,163.56667157786896,29.38484124943098,133.65437745084884,4.930439472198486,42.39926528930664,5.054207801818848,42.39926528930664,0,0.9966967651928967,7,5.0,542.0,5.0,414.0,0,0.7616387337057728,4,0.0,543.0,0.0,415.0,0,0.7642725598526704,4,-0.24950793137152988,0.2091249953955412,-0.07144898495503835,-0.019170069268771586,40,0.11398857917765245,144
e14efe7a38e0cd23984dadc316faf024f76d67776ab45afa2df56d5d7099fc37,train/contacts_raised_smooth_8,330e88ef1bf702123623ec0723a312f58e77118b74ae2e1ea7e791af1f796132,91,149;226;229,104.4139236101537,23.232913896763716,80.18543613767618,9.950743675231934,30.611724853515625,13.550439834594727,29.72951889038086,0,0.7830740910209827,53,5.0,94.0,8.0,14.0,0,0.06741573033707865,65,0.0,94.0,0.0,3.0,0,0.031914893617021274,42,-0.0032380945566627684,0.10571427857503295,,,57,,
e1b069d964b04176281d29f58301f13368550a7ef974c7d3f0a7fb6339ce9223,train/contacts_raised_rough_7,090b91c126b18fc99f1fe66f76972a074c588af6d782c17e64b3f85aa35c06a8,252,43;53;126,104.37539072121488,77.32402278767829,31.92824469790444,3.864931344985962,49.841331481933594,3.9097180366516113,16.533035278320312,0,0.2745608008471357,132,5.0,669.0,65.0,448.0,0,0.5768072289156626,147,4.0,670.0,65.0,449.0,0,0.5765765765765766,147,0.014157147333025935,0.29382040702870915,0.08657928312214108,0.2678530588746071,105,0.6481858787948043,38
e1b7f05154ba969aa7c7304aff4721b5638c797355e00a43d6bd6faa029eeb75,train/contacts_low_sparse_6,0eaeae9bdb7d34f9963db38db22fef60a2d7afe1f181be8db568fdf8cdda34c9,209,223;355;415,21.10328750218569,21.04492102229915,8.846441356226034,5.153064727783203,49.57855224609375,5.173315048217773,49.57855224609375,0,0.999544173366106,19,5.0,593.0,5.0,589.0,0,0.9931972789115646,13,1.0,593.0,1.0,590.0,0,0.9949324324324325,9,-0.21444139409905827,0.09242857247591019,-0.02142857015132904,-0.0062204056552478265,44,0.049558986387043036,140
e21c315aa30060b8100201269f99c980c1462726b6d11bb89254ff5d9ee9fa38,train/elongated_raised_rough_7,ad8aaf472d16c5c4881dbad9f72d43a9b12aba41a0c657b2bc259e8a8f2fcc3b,228,100;156;242,113.44287544053836,19.920968924828145,99.4145855055756,4.284233093261719,49.669586181640625,5.176002025604248,43.504180908203125,0,0.8445054687128336,42,5.0,439.0,6.0,439.0,0,0.9976958525345622,14,0.0,431.0,3.0,431.0,0,0.9930394431554525,14,-0.1600869974524391,0.06622856631875038,-0.009394736697064032,-0.0034285694360733088,76,0.026362160699750475,139
e2673b1f8bb92e6bf719846ffca281102967b58ddd659323a6c9708a788b1f0f,train/solid_raised_smooth_7,c849bae4ea6038eeaf624c18482ce8570047eda214ab94d113990aff8e1e3339,262,40;160;289,173.144939220593,170.94755850229188,65.59526597721458,3.2389333248138428,49.943077087402344,7.387613296508789,32.41398620605469,0,0.5358490894675777,146,6.0,3038.0,16.0,68.0,0,0.017150395778364115,136,0.0,3040.0,0.0,68.0,0,0.02236842105263158,128,-0.21032381107409795,0.02361904581387838,-0.167136506901847,-0.014114285260438918,109,0.6541008504255501,55
e75a4b7e0393df6b3a774d1947b0184f016168d9d2925114d57165f7042908bf,train/elongated_raised_rough_8,4c853db0ee4509b0eed7cbbd2db2eed2ad6324eff227be216e85d8da198a579a,98,169;219;273,106.59843212979463,106.59843212979463,40.780064987634276,5.004251480102539,24.007673263549805,6.846955299377441,24.007673263549805,0,0.9030330516117907,48,5.0,285.0,5.0,90.0,0,0.30357142857142855,48,5.0,285.0,5.0,90.0,0,0.30357142857142855,48,-0.019711733662656376,0.13307936406797832,0.021067933509504547,0.055625409850211666,0,0.22617467152196738,63
e76bf3951aad6ec004d2f2f37bfe685206766fa52ecc49506019cb97eb7da41b,train/sheet_low_sparse_6,a55d27fe788cc162cb22c11178df2e5e3cf52f892c79ded7f0d702b5128eda78,141,38;162;238,159.4012685278979,148.5217901941715,28.485546280317376,4.629940986633301,32.481998443603516,4.72630500793457,32.481998443603516,0,0.9965401471165947,2,5.0,744.0,5.0,490.0,0,0.6562922868741543,5,0.0,745.0,0.0,490.0,0,0.6577181208053692,5,-0.21670686865323469,0.06718367551054273,-0.03890476499994597,-0.022938006610240577,26,0.056242656608154286,98
e7900b6dd1c3c375e15adc10e7e59c15523b7584ef115ba91d38a95ebbfdc369,train/branched_low_rough_7,56c168ff80312d148ad9cd032e383fe6696ab6e874ed233471c341f64ade5532,135,47;171;236,165.96599951680895,153.65681040678885,45.83384562979583,5.2680745124816895,35.403778076171875,6.618888854980469,32.20204162597656,0,0.8489316573255865,53,5.0,254.0,5.0,67.0,0,0.24899598393574296,55,0.0,254.0,0.0,67.0,0,0.2637795275590551,55,-0.060806715532260774,0.2387959116271564,0.005063144671132197,0.02076190710067749,21,0.05239861405217936,94
e7e33e4325635c9c08fdc157ce481236434e6341ff0198c665c2c1e1a6c372f3,train/elongated_raised_sparse_6,9fd3a3b57d37342ad74190185f5e044ca4cbe68b7e0e927af85dd768af6a652e,395,236;361;405,176.12234320156622,136.36381500398383,59.00071270000062,3.5035839080810547,47.359291076660156,4.201383590698242,36.63613510131836,0,0.7395788052383373,118,5.0,1437.0,7.0,1330.0,0,0.9238826815642458,53,0.0,1439.0,6.0,1332.0,0,0.9214732453092426,128,-0.09504313426567058,0.5062738085786502,0.05866233983331107,0.05866233983331107,175,0.0,219
e8a17b98afbfd84318281736b56ecf3f7d264e28ebf750dbd57b4e87632be6bd,train/solid_raised_smooth_8,f4a749fbd0417c7e240bf94323b8cfde5fa46d0131a07ecefadfd08bb9a9b3a2,320,238;340;348,163.80865688400763,137.39365945906005,63.32250957814579,2.898245096206665,49.70060729980469,3.6276347637176514,20.36970329284668,0,0.35771845139564235,149,10.0,1969.0,75.0,852.0,0,0.39663093415007655,169,5.0,1970.0,76.0,854.0,0,0.39592875318066156,179,-0.27036245567488,0.02447618916630745,-0.11881632703755583,-0.11881632703755583,72,0.0,247
ec0b1b74d9ce4d57f5625c7e728881cf927ff2096bac8068d70cee4a72a707de,train/elongated_raised_sparse_7,090e0764c981dae7b85b16f05747982ab14aacc570e39ff3f4d1d18f4d7a902a,237,118;234;236,87.40193560633472,6.297156198816803,82.38278699314037,6.243860721588135,49.68042755126953,18.630081176757812,49.30632781982422,0,0.7062309220558491,119,5.0,363.0,5.0,49.0,0,0.12290502793296089,117,5.0,364.0,5.0,49.0,0,0.12256267409470752,117,-0.035530614001410346,0.2680952399969101,0.225333332332472,0.225333332332472,85,0.0,151
