geometry,stu_worlds,scenes,logs,placements,observed_scenes,observed_logs,observed_placements
58df2f378fa2a0f8298ee29a4db670ff93ec9f3c2d18b8309f742c3362a1934b,1,11,11,11,11,11,11
5a0a7a544149e0178d618c687d21892bc1cee5605a237cf3da8baeb23cc5c9f1,1,11,11,11,11,11,11
5a1622bdac230f8ba6f4585202e714de4cd6c9c91ad6ee4beea6489291e369f7,1,11,11,11,11,11,11
5a1f82d793e3ef4594b2bb8ca39145625596fb74734ca52b582d03b773f6268e,1,11,11,11,11,11,11
5ac8d2d389be8b3e4e6a6560f73e938112b49559cecd278137e5f8d57fba5dd7,1,10,10,10,10,10,10
5b35f71439388c5e1fca828941c7bdf382f61e3e44bad855a6e2654d8694e490,1,11,11,11,11,11,11
5b98d740573544e10bb8e77bccdbc826faf08bd3df8675ef5f458c55295d646f,1,11,11,11,11,11,11
5c23c8e7992a7affc671a9f49d8fa52b08d80c26e18255700e1bc8f23d29697b,1,11,11,11,11,11,11
5c745c4c68409344e92a52566015abf839858bbeb002d6aa8d083210233d2b90,1,11,11,11,11,11,11
5cc657fc6df212a8776265aa90cb5954b6c24a4f86a624804aaa03bd8f357ea6,1,11,11,11,11,11,11
5d26f4c29e124772c570ab70f6aef0e8c5bbd38f12f58ad4baff29b44c216502,1,11,11,11,11,11,11
5ea637f5102e9c4bd45d36bdaa5042a436302dcdf478018944d4d0bb8cb19b0b,1,11,11,11,11,11,11
5f69c13d7f401f7d75dd47d4e68be82869c14f72cef58e1742c83036953c25d7,1,11,11,11,11,11,11
5fa6a1945f7bfb49598997b96fe565cd209763e703ec760d61d94d5beb8780b2,1,11,11,11,11,11,11
603751e8b315cb6fe1e1736b15186a42dea55d42abd8e10c7697d785afe91665,1,11,11,11,11,11,11
6358656208126751302353a60582de369b0589dc2a7a7bd9355cf89d40850d37,1,11,11,11,11,11,11
660b56084657e0f6a7c4e0c67a1aec9a6974b521a87af67490ddf6929eae3926,1,11,11,11,11,11,11
676222e62694f175d99bc7b0efd3c1b8256b58b3c923bede52655c19cb97080a,1,11,11,11,11,11,11
68652b6fb226285f642266307bbaa703e6a9fea27c40f817e9ff61812671b37a,1,11,11,11,11,11,11
68825dd68f79e71525d483a81d0d1ae5ed79b35791626d9785f27f6006efabb8,1,11,11,11,11,11,11
688fe0ef8ddc46564d76d91b1a2fadd7145ccc919fd9e3df9d11cc5cd5790c70,1,10,10,10,10,10,10
6cb4ecb404f336901eb4545b06c2dd1aa400120fb5fddd4b29bbb7b317976d47,1,11,11,11,11,11,11
6d045f8ff036334ba343dd262935afc91122c203914aead6da0a145f362fc626,1,11,11,11,11,11,11
6d293c83e011726b7400bf867cfe134e686cb3caa84e53b91253f71b9d0a74a7,1,11,11,11,11,11,11
6ea1ef74c28d0677809306e43ac83801cb2211359bb85566e37374b12d05a8ab,1,11,11,11,11,11,11
70294efb5e987849620b11e030acd8fc81858a8be5a3ea4d5bd4cdbdf338397d,1,10,10,10,10,10,10
70d7f08ab818432b6cabfbf214b2748d86eb039f273bd2b3491d224d5c25deaa,1,11,11,11,11,11,11
735e3021649e949a21e7f87892c032013e103e22ef80e60efa63d64b16a646df,1,11,11,11,11,11,11
73c3efa756f9dfe8baff6d5bf1a971b3a0d13bdc0bdb0b2f78ecd5ef3803a1c4,1,11,11,11,11,11,11
753785c7b2265e5fe0c0ca06e11f1b1eadb4537cfca2a6a4b123bf6f3420a82c,1,11,10,11,11,10,11
75be70892c56e4675e10e85bd291cef1af086c736038c8165a8731de6c27e9a8,1,11,10,11,11,10,11
773e5d84a87cc8c9997c39bcc141f3dc1dcf2cb814206f3921753d7ff1c6a99b,1,11,10,11,11,10,11
78f799562586468e04526cfd96ca6b6e502fd03fabac4959120e5b1f24fba3e1,1,11,10,11,11,10,11
79ad4ddf4a733a3fc110081c5e5104dd647104e7d063e6376c0a5225c0a0c7cb,1,0,0,0,0,0,0
7bc192b30edddfa4563c736c22653c57da2c9bdc36321a38d3270c2a945f069e,1,11,10,11,11,10,11
7c79ffedc2f499f4b4441d1643413f881d6a70d9405eaf6e48036665fddd9f2e,1,11,10,11,11,10,11
7d5be310c7312355b926ea7f791ed688aeca7616cb3f81d7d0ff9110bc36487f,1,11,10,11,11,10,11
7dce9a3a6cded3f96d937bb2ecc6a034dfa5fe22f326175dd1c23078d4e50414,1,11,10,11,11,10,11
7e619a9d37a4e32a0c4e419b70d2a209e4be55b4f2cf8848ea6fc95e4f706666,1,11,10,11,11,10,11
7f5d0e2fd5d44ddd51cd04446636b590d04d5dc672b47bfa3daeca2df9e32cc6,1,11,10,11,11,10,11
806258943c00a58c2c79150ab461e807cda2b2202d050f6dee1074e1fa063191,1,11,10,11,11,10,11
8188cdd5dcd7f90a3e5295d5e4b89f8c769b12116b2138e16b250e8a2652f3fa,1,11,10,11,11,10,11
81bd12e0650d6bf6d2eea029fbbe47feb8cf84f88b8445158d5ccac381c58dd3,1,11,11,11,11,11,11
8230caa105a910e1780a2b7705215d37df1d84a0b2bcf5baec4ab4d8f7bdbb8a,1,11,11,11,11,11,11
823f1849008d6427606e57cb2af002dce97fa9458fc7c3d19c7cd7afbf2f8d7b,1,11,11,11,11,11,11
8261706707791275299a9437e481d601f139f604de0415d81c83e3ae34e3fb26,1,11,11,11,11,11,11
8474018041d56ba7bc14854f1dc82bfbe1f5a7daf9c385586e70589f4abd134e,1,11,11,11,11,11,11
84bc37e7e4161f81f6e64c76426b65f9af58f8012db0499bfa916005951f7497,1,11,11,11,11,11,11
856d3d2ad40252e69ad3d341b82ffef6ae6a7b5d0526beeda63174d3176ad594,1,11,11,11,11,11,11
86086c3127bdf75fe6a0504271d66c9300a38979837349c8bd10e457823772dc,1,0,0,0,0,0,0
86a98651a3fd385a8be0e1983ce53189b3f5de17784c0499917ed5c9e7f4ca08,1,11,11,11,11,11,11
8706d7de12229b1a44328cf1b3e874b2986f6e8aa41912e7e9e9b41d46216ae9,1,11,11,11,11,11,11
87514bbf090c0a4873553dd07a45f2789cd4008461420ac567ef561c65db4a6d,1,10,10,10,10,10,10
8796fd357408636bccd9fa4c3ee5fca42f91112b68c4a1c939bf4e3df3b1182c,1,11,11,11,11,11,11
8925edf915c365cd484c82ebe0377e03524979d333de6e58d5bb59968bfa8e9e,1,11,11,11,11,11,11
896c5650e7fe85f5340951a7409627322a0dfe8a5c22aaf1aa17baf201571304,1,11,11,11,11,11,11
8c0a8a26e5489ad1887756420885d34681a4bcb6a1fd96c29227f796b1bdddac,1,11,11,11,11,11,11
8cb6dc963c603b6e7ca460c4364552f7b8d67444ef70800db286e790a89fff37,1,11,11,11,11,11,11
8e5bae4fcb0fccf588ed34dd633de276d6037dedea9b1ae64cead2c583947779,1,11,11,11,11,11,11
8f7f7630e2385f160ace66f1df5f34c21be842c442a33c7cc8567ed6e2194d34,1,11,11,11,11,11,11
8faa631d821de86e3f2c716b7bddad9a89876338c772c3a3b7635bd0f08c7131,1,11,11,11,11,11,11
900209dc31297827eb341c1b7a15ee48d860648bd7a63be0e50ac7408041dab3,1,11,11,11,11,11,11
91877624e3e947945a4a8c0ec1877fa0f2b47d0c7f4fa384541098d44410cc68,1,11,11,11,11,11,11
92718cbec333603b9c5a0b840e54526c83074b0c08b6a8f25bb6fd2d60fb47f4,1,11,11,11,11,11,11
93360b076f91e0d7c29cf3f0509caae8e31cb799c28fb0204481ccbfce5c2c92,1,11,11,11,11,11,11
939676808fdf2d0dbef0ed14f256bc84827694eac2f3c426eb8435d39ec52c58,1,11,11,11,11,11,11
957002921eb78675cfa31fb765937932ff3a8c620641945a2671d128fad588ed,1,11,11,11,11,11,11
9895d5f5c6d5a6b71ec3c71ec73eefa9a79eac81e980832ae97118b7f0612e34,1,11,11,11,11,11,11
98c7cdf3c7cd03a7673190c1a8d9f078958ad5087061885892df6f96007afbfb,1,11,11,11,11,11,11
9a270afd74c1a919ae7a84df1695e46f70545a97280e94bd8d4563e9e4ff234c,1,11,11,11,11,11,11
9b000fd1f1ad39256b065bf0005b30ce4fe701c180a0d6a68a152db84e779d80,1,11,11,11,11,11,11
9bc43e7314021cc52826176e2d90ff9cc440bc948d674272dcdd365b1fa6fef8,1,11,11,11,11,11,11
9ddcd548e80a35a5680f6f049e082221c1cb5511594520e8432fbabf2e967e21,1,11,11,11,11,11,11
